time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.97574e-06	26.7335
1	3.97574e-06	8.27571e-06	26.7335
2	8.27571e-06	1.29263e-05	26.7335
3	1.29263e-05	1.79562e-05	26.7335
4	1.79562e-05	2.33963e-05	2.05122
5	2.33963e-05	2.928e-05	2.05122
6	2.928e-05	3.56435e-05	2.05119
7	3.56435e-05	4.2526e-05	2.05119
8	4.2526e-05	4.99697e-05	2.05118
9	4.99697e-05	5.80205e-05	2.05118
10	5.80205e-05	6.67278e-05	2.05118
11	6.67278e-05	7.61452e-05	2.05118
12	7.61452e-05	8.63305e-05	2.05118
13	8.63305e-05	9.73465e-05	2.05118
14	9.73465e-05	0.000109261	2.05118
15	0.000109261	0.000122147	2.05118
16	0.000122147	0.000136084	2.05118
17	0.000136084	0.000151157	2.05118
18	0.000151157	0.000167459	2.05118
19	0.000167459	0.000185091	2.05118
20	0.000185091	0.000204161	2.05118
21	0.000204161	0.000224786	2.05118
22	0.000224786	0.000247093	2.05118
23	0.000247093	0.00027122	2.05118
24	0.00027122	0.000297313	2.05118
25	0.000297313	0.000325535	2.05118
26	0.000325535	0.000356058	2.05118
27	0.000356058	0.00038907	2.05118
28	0.00038907	0.000424774	2.05118
29	0.000424774	0.00046339	2.05118
30	0.00046339	0.000505156	2.05118
31	0.000505156	0.000550327	2.05118
32	0.000550327	0.000599181	2.05118
33	0.000599181	0.00065202	2.05118
34	0.00065202	0.000709168	2.05118
35	0.000709168	0.000770976	2.05118
36	0.000770976	0.000837825	2.05118
37	0.000837825	0.000910125	2.05118
38	0.000910125	0.000988322	2.05118
39	0.000988322	0.00107289	2.05118
40	0.00107289	0.00116436	2.05118
41	0.00116436	0.00126329	2.05118
42	0.00126329	0.00137029	2.05118
43	0.00137029	0.00148601	2.05118
44	0.00148601	0.00161117	2.05118
45	0.00161117	0.00174654	2.05118
46	0.00174654	0.00189295	2.05118
47	0.00189295	0.00205129	2.05118
48	0.00205129	0.00222255	2.05118
49	0.00222255	0.00240777	2.05118
50	0.00240777	0.0026081	2.05118
51	0.0026081	0.00282477	2.05118
52	0.00282477	0.0030591	2.05118
53	0.0030591	0.00331255	2.05118
54	0.00331255	0.00358666	2.05118
55	0.00358666	0.00388313	2.05118
56	0.00388313	0.00420377	2.05118
57	0.00420377	0.00455057	2.05118
58	0.00455057	0.00492564	2.05118
59	0.00492564	0.0053313	2.05118
60	0.0053313	0.00577004	2.05118
61	0.00577004	0.00624456	2.05118
62	0.00624456	0.00675778	2.05118
63	0.00675778	inf	2.05118
