time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.7118e-06	1064.46
1	6.7118e-06	1.39709e-05	1064.46
2	1.39709e-05	2.18221e-05	1064.46
3	2.18221e-05	3.03134e-05	1064.46
4	3.03134e-05	3.94973e-05	2438.39
5	3.94973e-05	4.94301e-05	2438.39
6	4.94301e-05	6.01729e-05	1590.06
7	6.01729e-05	7.17918e-05	1590.06
8	7.17918e-05	8.43582e-05	1117.26
9	8.43582e-05	9.79494e-05	1117.26
10	9.79494e-05	0.000112649	1024.84
11	0.000112649	0.000128547	1024.84
12	0.000128547	0.000145742	979.805
13	0.000145742	0.000164339	979.805
14	0.000164339	0.000184453	836.052
15	0.000184453	0.000206206	836.052
16	0.000206206	0.000229734	781.137
17	0.000229734	0.000255181	781.137
18	0.000255181	0.000282703	882.588
19	0.000282703	0.000312469	882.588
20	0.000312469	0.000344662	1141.94
21	0.000344662	0.000379481	1141.94
22	0.000379481	0.00041714	1520.86
23	0.00041714	0.000457869	1520.86
24	0.000457869	0.00050192	1906.65
25	0.00050192	0.000549563	1906.65
26	0.000549563	0.000601092	2113.58
27	0.000601092	0.000656823	2113.58
28	0.000656823	0.000717098	2011.14
29	0.000717098	0.000782289	2011.14
30	0.000782289	0.000852797	1654.9
31	0.000852797	0.000929054	1654.9
32	0.000929054	0.00101153	1228.69
33	0.00101153	0.00110073	1228.69
34	0.00110073	0.00119721	888.764
35	0.00119721	0.00130155	888.764
36	0.00130155	0.0014144	670.667
37	0.0014144	0.00153646	670.667
38	0.00153646	0.00166847	540.749
39	0.00166847	0.00181125	540.749
40	0.00181125	0.00196566	469.934
41	0.00196566	0.00213268	469.934
42	0.00213268	0.00231331	443.254
43	0.00231331	0.00250867	443.254
44	0.00250867	0.00271996	458.134
45	0.00271996	0.00294849	458.134
46	0.00294849	0.00319565	519.228
47	0.00319565	0.00346296	519.228
48	0.00346296	0.00375208	633.362
49	0.00375208	0.00406477	633.362
50	0.00406477	0.00440296	799.221
51	0.00440296	0.00476874	799.221
52	0.00476874	0.00516434	992.377
53	0.00516434	0.0055922	992.377
54	0.0055922	0.00605495	1206.54
55	0.00605495	0.00655545	1206.54
56	0.00655545	0.00709675	1206.54
57	0.00709675	0.0076822	1206.54
58	0.0076822	0.0083154	1010
59	0.0083154	0.00900023	1010
60	0.00900023	0.00974091	1010
61	0.00974091	0.010542	1010
62	0.010542	0.0114084	1010
63	0.0114084	inf	1010
