time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.94538e-06	53.0971
1	3.94538e-06	8.21251e-06	53.0971
2	8.21251e-06	1.28276e-05	53.0971
3	1.28276e-05	1.78191e-05	53.0971
4	1.78191e-05	2.32176e-05	2.06697
5	2.32176e-05	2.90564e-05	2.06697
6	2.90564e-05	3.53713e-05	2.06697
7	3.53713e-05	4.22012e-05	2.06697
8	4.22012e-05	4.95881e-05	2.06697
9	4.95881e-05	5.75774e-05	2.06697
10	5.75774e-05	6.62182e-05	2.06697
11	6.62182e-05	7.55637e-05	2.06697
12	7.55637e-05	8.56713e-05	2.06697
13	8.56713e-05	9.66031e-05	2.06697
14	9.66031e-05	0.000108426	2.06697
15	0.000108426	0.000121214	2.06697
16	0.000121214	0.000135044	2.06697
17	0.000135044	0.000150003	2.06697
18	0.000150003	0.000166181	2.06697
19	0.000166181	0.000183678	2.06697
20	0.000183678	0.000202602	2.06697
21	0.000202602	0.00022307	2.06697
22	0.00022307	0.000245207	2.06697
23	0.000245207	0.000269149	2.06697
24	0.000269149	0.000295043	2.06697
25	0.000295043	0.000323049	2.06697
26	0.000323049	0.000353339	2.06697
27	0.000353339	0.000386099	2.06697
28	0.000386099	0.000421531	2.06697
29	0.000421531	0.000459852	2.06697
30	0.000459852	0.000501298	2.06697
31	0.000501298	0.000546124	2.06697
32	0.000546124	0.000594606	2.06697
33	0.000594606	0.000647041	2.06697
34	0.000647041	0.000703753	2.06697
35	0.000703753	0.000765089	2.06697
36	0.000765089	0.000831427	2.06697
37	0.000831427	0.000903175	2.06697
38	0.000903175	0.000980774	2.06697
39	0.000980774	0.0010647	2.06697
40	0.0010647	0.00115547	2.06697
41	0.00115547	0.00125365	2.06697
42	0.00125365	0.00135983	2.06697
43	0.00135983	0.00147467	2.06697
44	0.00147467	0.00159887	2.06697
45	0.00159887	0.0017332	2.06697
46	0.0017332	0.00187849	2.06697
47	0.00187849	0.00203563	2.06697
48	0.00203563	0.00220558	2.06697
49	0.00220558	0.00238939	2.06697
50	0.00238939	0.00258819	2.06697
51	0.00258819	0.0028032	2.06697
52	0.0028032	0.00303574	2.06697
53	0.00303574	0.00328725	2.06697
54	0.00328725	0.00355927	2.06697
55	0.00355927	0.00385348	2.06697
56	0.00385348	0.00417167	2.06697
57	0.00417167	0.00451582	2.06697
58	0.00451582	0.00488803	0.00148354
59	0.00488803	0.00529059	0.00148354
60	0.00529059	0.00572598	0.00148354
61	0.00572598	0.00619688	0.00148354
62	0.00619688	0.00670618	0.00148354
63	0.00670618	inf	0.00148354
