time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.78115e-06	2793.82
1	3.78115e-06	7.87064e-06	2793.82
2	7.87064e-06	1.22936e-05	2793.82
3	1.22936e-05	1.70773e-05	2793.82
4	1.70773e-05	2.22511e-05	10741
5	2.22511e-05	2.78468e-05	10741
6	2.78468e-05	3.38989e-05	4682.98
7	3.38989e-05	4.04445e-05	4682.98
8	4.04445e-05	4.75239e-05	2217.38
9	4.75239e-05	5.51806e-05	2217.38
10	5.51806e-05	6.34617e-05	1561.64
11	6.34617e-05	7.24181e-05	1561.64
12	7.24181e-05	8.21049e-05	1368.5
13	8.21049e-05	9.25817e-05	1368.5
14	9.25817e-05	0.000103913	1285.91
15	0.000103913	0.000116168	1285.91
16	0.000116168	0.000129423	1358.22
17	0.000129423	0.000143758	1358.22
18	0.000143758	0.000159263	1592.11
19	0.000159263	0.000176032	1592.11
20	0.000176032	0.000194168	1817.78
21	0.000194168	0.000213784	1817.78
22	0.000213784	0.000234999	1912.83
23	0.000234999	0.000257944	1912.83
24	0.000257944	0.000282761	1907.94
25	0.000282761	0.000309601	1907.94
26	0.000309601	0.00033863	1859.98
27	0.00033863	0.000370026	1859.98
28	0.000370026	0.000403983	1807.47
29	0.000403983	0.000440709	1807.47
30	0.000440709	0.00048043	1799.46
31	0.00048043	0.00052339	1799.46
32	0.00052339	0.000569854	1875.89
33	0.000569854	0.000620106	1875.89
34	0.000620106	0.000674457	2033.08
35	0.000674457	0.00073324	2033.08
36	0.00073324	0.000796816	2230.88
37	0.000796816	0.000865578	2230.88
38	0.000865578	0.000939947	2398.36
39	0.000939947	0.00102038	2398.36
40	0.00102038	0.00110737	2429.91
41	0.00110737	0.00120146	2429.91
42	0.00120146	0.00130322	2231.5
43	0.00130322	0.00141328	2231.5
44	0.00141328	0.00153231	1823.62
45	0.00153231	0.00166105	1823.62
46	0.00166105	0.00180029	1364.99
47	0.00180029	0.00195089	1364.99
48	0.00195089	0.00211376	1027.76
49	0.00211376	0.00228992	1027.76
50	0.00228992	0.00248045	863.159
51	0.00248045	0.00268651	863.159
52	0.00268651	0.00290937	844.058
53	0.00290937	0.00315041	844.058
54	0.00315041	0.00341111	1005.55
55	0.00341111	0.00369306	1005.55
56	0.00369306	0.00399801	1005.55
57	0.00399801	0.00432783	1005.55
58	0.00432783	0.00468455	1155.09
59	0.00468455	0.00507035	1155.09
60	0.00507035	0.00548762	1155.09
61	0.00548762	0.00593891	1155.09
62	0.00593891	0.00642701	1155.09
63	0.00642701	inf	1155.09
