time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.3189e-06	708.014
1	8.3189e-06	1.73162e-05	708.014
2	1.73162e-05	2.70472e-05	708.014
3	2.70472e-05	3.75718e-05	708.014
4	3.75718e-05	4.89547e-05	10.2601
5	4.89547e-05	6.12658e-05	10.2601
6	6.12658e-05	7.45809e-05	2.75835
7	7.45809e-05	8.89819e-05	2.75835
8	8.89819e-05	0.000104557	0.980296
9	0.000104557	0.000121403	0.980296
10	0.000121403	0.000139622	0.980296
11	0.000139622	0.000159327	0.980296
12	0.000159327	0.000180639	0.980296
13	0.000180639	0.000203689	0.980296
14	0.000203689	0.000228619	0.980296
15	0.000228619	0.000255581	0.980296
16	0.000255581	0.000284743	0.980296
17	0.000284743	0.000316283	0.980296
18	0.000316283	0.000350394	0.980296
19	0.000350394	0.000387288	0.980296
20	0.000387288	0.00042719	0.980296
21	0.00042719	0.000470346	0.980296
22	0.000470346	0.000517022	0.980296
23	0.000517022	0.000567503	0.980296
24	0.000567503	0.000622102	0.980296
25	0.000622102	0.000681153	0.980296
26	0.000681153	0.00074502	0.980296
27	0.00074502	0.000814095	0.980296
28	0.000814095	0.000888803	0.980296
29	0.000888803	0.000969604	0.980296
30	0.000969604	0.00105699	0.980296
31	0.00105699	0.00115151	0.980296
32	0.00115151	0.00125373	0.980296
33	0.00125373	0.0013643	0.980296
34	0.0013643	0.00148387	0.980296
35	0.00148387	0.0016132	0.980296
36	0.0016132	0.00175308	0.980296
37	0.00175308	0.00190436	0.980296
38	0.00190436	0.00206798	0.980296
39	0.00206798	0.00224494	0.980296
40	0.00224494	0.00243633	0.980296
41	0.00243633	0.00264333	0.980296
42	0.00264333	0.00286721	0.980296
43	0.00286721	0.00310935	0.980296
44	0.00310935	0.00337124	0.980296
45	0.00337124	0.00365448	0.980296
46	0.00365448	0.00396082	0.980296
47	0.00396082	0.00429215	0.980296
48	0.00429215	0.00465049	0.980296
49	0.00465049	0.00503806	0.980296
50	0.00503806	0.00545723	0.980296
51	0.00545723	0.00591058	0.980296
52	0.00591058	0.00640091	0.980296
53	0.00640091	0.00693122	0.980296
54	0.00693122	0.00750478	0.980296
55	0.00750478	0.00812511	0.980296
56	0.00812511	0.00879603	0.980296
57	0.00879603	0.00952166	0.980296
58	0.00952166	0.0103065	0.980296
59	0.0103065	0.0111553	0.980296
60	0.0111553	0.0120733	0.980296
61	0.0120733	0.0130662	0.980296
62	0.0130662	0.0141401	0.980296
63	0.0141401	inf	0.980296
