time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.84988e-06	3111.38
1	1.84988e-06	3.85062e-06	3111.38
2	3.85062e-06	6.01453e-06	3111.38
3	6.01453e-06	8.35489e-06	3111.38
4	8.35489e-06	1.08861e-05	4.40837
5	1.08861e-05	1.36238e-05	4.40837
6	1.36238e-05	1.65847e-05	4.40837
7	1.65847e-05	1.9787e-05	4.40837
8	1.9787e-05	2.32505e-05	4.40837
9	2.32505e-05	2.69965e-05	4.40837
10	2.69965e-05	3.10479e-05	4.40837
11	3.10479e-05	3.54298e-05	4.40837
12	3.54298e-05	4.01689e-05	4.40837
13	4.01689e-05	4.52946e-05	4.40837
14	4.52946e-05	5.08382e-05	4.40837
15	5.08382e-05	5.6834e-05	4.40837
16	5.6834e-05	6.33186e-05	4.40837
17	6.33186e-05	7.03322e-05	4.40837
18	7.03322e-05	7.79176e-05	4.40837
19	7.79176e-05	8.61217e-05	4.40837
20	8.61217e-05	9.49947e-05	4.40837
21	9.49947e-05	0.000104591	4.40837
22	0.000104591	0.000114971	4.40837
23	0.000114971	0.000126196	4.40837
24	0.000126196	0.000138338	4.40837
25	0.000138338	0.000151469	4.40837
26	0.000151469	0.000165671	4.40837
27	0.000165671	0.000181031	4.40837
28	0.000181031	0.000197644	4.40837
29	0.000197644	0.000215612	4.40837
30	0.000215612	0.000235045	4.40837
31	0.000235045	0.000256063	4.40837
32	0.000256063	0.000278795	4.40837
33	0.000278795	0.00030338	4.40837
34	0.00030338	0.000329971	4.40837
35	0.000329971	0.000358729	4.40837
36	0.000358729	0.000389834	4.40837
37	0.000389834	0.000423474	4.40837
38	0.000423474	0.000459858	4.40837
39	0.000459858	0.00049921	4.40837
40	0.00049921	0.00054177	4.40837
41	0.00054177	0.000587801	4.40837
42	0.000587801	0.000637586	4.40837
43	0.000637586	0.000691431	4.40837
44	0.000691431	0.000749667	4.40837
45	0.000749667	0.000812652	4.40837
46	0.000812652	0.000880773	4.40837
47	0.000880773	0.00095445	4.40837
48	0.00095445	0.00103414	4.40837
49	0.00103414	0.00112032	4.40837
50	0.00112032	0.00121353	4.40837
51	0.00121353	0.00131434	4.40837
52	0.00131434	0.00142338	4.40837
53	0.00142338	0.0015413	4.40837
54	0.0015413	0.00166885	4.40837
55	0.00166885	0.00180679	4.40837
56	0.00180679	0.00195598	4.40837
57	0.00195598	0.00211734	4.40837
58	0.00211734	0.00229186	4.40837
59	0.00229186	0.00248061	4.40837
60	0.00248061	0.00268476	4.40837
61	0.00268476	0.00290555	4.40837
62	0.00290555	0.00314434	4.40837
63	0.00314434	inf	4.40837
