time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.65275e-06	688.571
1	5.65275e-06	1.17665e-05	688.571
2	1.17665e-05	1.83788e-05	688.571
3	1.83788e-05	2.55303e-05	688.571
4	2.55303e-05	3.3265e-05	1.44266
5	3.3265e-05	4.16305e-05	1.44266
6	4.16305e-05	5.06783e-05	1.44266
7	5.06783e-05	6.04638e-05	1.44266
8	6.04638e-05	7.10474e-05	1.44266
9	7.10474e-05	8.2494e-05	1.44266
10	8.2494e-05	9.48741e-05	1.44266
11	9.48741e-05	0.000108264	1.44266
12	0.000108264	0.000122745	1.44266
13	0.000122745	0.000138408	1.44266
14	0.000138408	0.000155348	1.44266
15	0.000155348	0.000173669	1.44266
16	0.000173669	0.000193485	1.44266
17	0.000193485	0.000214916	1.44266
18	0.000214916	0.000238095	1.44266
19	0.000238095	0.000263165	1.44266
20	0.000263165	0.000290278	1.44266
21	0.000290278	0.000319603	1.44266
22	0.000319603	0.00035132	1.44266
23	0.00035132	0.000385622	1.44266
24	0.000385622	0.000422723	1.44266
25	0.000422723	0.000462848	1.44266
26	0.000462848	0.000506246	1.44266
27	0.000506246	0.000553183	1.44266
28	0.000553183	0.000603948	1.44266
29	0.000603948	0.000658852	1.44266
30	0.000658852	0.000718234	1.44266
31	0.000718234	0.000782459	1.44266
32	0.000782459	0.000851921	1.44266
33	0.000851921	0.000927048	1.44266
34	0.000927048	0.0010083	1.44266
35	0.0010083	0.00109618	1.44266
36	0.00109618	0.00119123	1.44266
37	0.00119123	0.00129402	1.44266
38	0.00129402	0.0014052	1.44266
39	0.0014052	0.00152545	1.44266
40	0.00152545	0.0016555	1.44266
41	0.0016555	0.00179616	1.44266
42	0.00179616	0.00194829	1.44266
43	0.00194829	0.00211283	1.44266
44	0.00211283	0.00229078	1.44266
45	0.00229078	0.00248325	1.44266
46	0.00248325	0.00269141	1.44266
47	0.00269141	0.00291654	1.44266
48	0.00291654	0.00316004	1.44266
49	0.00316004	0.00342339	1.44266
50	0.00342339	0.00370822	1.44266
51	0.00370822	0.00401628	1.44266
52	0.00401628	0.00434946	1.44266
53	0.00434946	0.00470981	1.44266
54	0.00470981	0.00509955	1.44266
55	0.00509955	0.00552107	1.44266
56	0.00552107	0.00597696	1.44266
57	0.00597696	0.00647003	1.44266
58	0.00647003	0.00700332	1.44266
59	0.00700332	0.00758009	1.44266
60	0.00758009	0.00820389	1.44266
61	0.00820389	0.00887857	1.44266
62	0.00887857	0.00960827	1.44266
63	0.00960827	inf	1.44266
