time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.93379e-06	485.825
1	1.93379e-06	4.02528e-06	485.825
2	4.02528e-06	6.28734e-06	485.825
3	6.28734e-06	8.73386e-06	485.825
4	8.73386e-06	1.13799e-05	4.21709
5	1.13799e-05	1.42417e-05	4.21709
6	1.42417e-05	1.73369e-05	4.21709
7	1.73369e-05	2.06845e-05	4.21709
8	2.06845e-05	2.43051e-05	4.21709
9	2.43051e-05	2.8221e-05	4.21709
10	2.8221e-05	3.24562e-05	4.21709
11	3.24562e-05	3.70368e-05	4.21709
12	3.70368e-05	4.19909e-05	4.21709
13	4.19909e-05	4.73491e-05	4.21709
14	4.73491e-05	5.31442e-05	4.21709
15	5.31442e-05	5.94119e-05	4.21709
16	5.94119e-05	6.61907e-05	4.21709
17	6.61907e-05	7.35223e-05	4.21709
18	7.35223e-05	8.14518e-05	4.21709
19	8.14518e-05	9.0028e-05	4.21709
20	9.0028e-05	9.93036e-05	4.21709
21	9.93036e-05	0.000109336	4.21709
22	0.000109336	0.000120186	4.21709
23	0.000120186	0.000131921	4.21709
24	0.000131921	0.000144612	4.21709
25	0.000144612	0.000158339	4.21709
26	0.000158339	0.000173186	4.21709
27	0.000173186	0.000189243	4.21709
28	0.000189243	0.000206609	4.21709
29	0.000206609	0.000225392	4.21709
30	0.000225392	0.000245706	4.21709
31	0.000245706	0.000267677	4.21709
32	0.000267677	0.00029144	4.21709
33	0.00029144	0.000317141	4.21709
34	0.000317141	0.000344938	4.21709
35	0.000344938	0.000375001	4.21709
36	0.000375001	0.000407516	4.21709
37	0.000407516	0.000442683	4.21709
38	0.000442683	0.000480717	4.21709
39	0.000480717	0.000521853	4.21709
40	0.000521853	0.000566344	4.21709
41	0.000566344	0.000614463	4.21709
42	0.000614463	0.000666506	4.21709
43	0.000666506	0.000722793	4.21709
44	0.000722793	0.000783671	4.21709
45	0.000783671	0.000849513	4.21709
46	0.000849513	0.000920724	4.21709
47	0.000920724	0.000997743	4.21709
48	0.000997743	0.00108104	4.21709
49	0.00108104	0.00117113	4.21709
50	0.00117113	0.00126857	4.21709
51	0.00126857	0.00137396	4.21709
52	0.00137396	0.00148794	4.21709
53	0.00148794	0.00161122	4.21709
54	0.00161122	0.00174454	4.21709
55	0.00174454	0.00188874	4.21709
56	0.00188874	0.0020447	4.21709
57	0.0020447	0.00221338	4.21709
58	0.00221338	0.00239582	4.21709
59	0.00239582	0.00259313	4.21709
60	0.00259313	0.00280653	4.21709
61	0.00280653	0.00303734	4.21709
62	0.00303734	0.00328697	4.21709
63	0.00328697	inf	4.21709
