time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.25971e-06	1712.49
1	1.25971e-06	2.62215e-06	1712.49
2	2.62215e-06	4.0957e-06	1712.49
3	4.0957e-06	5.68942e-06	1712.49
4	5.68942e-06	7.4131e-06	6.47369
5	7.4131e-06	9.27735e-06	6.47369
6	9.27735e-06	1.12936e-05	6.47368
7	1.12936e-05	1.34743e-05	6.47368
8	1.34743e-05	1.58329e-05	6.47368
9	1.58329e-05	1.83838e-05	6.47368
10	1.83838e-05	2.11427e-05	6.47368
11	2.11427e-05	2.41266e-05	6.47368
12	2.41266e-05	2.73538e-05	6.47368
13	2.73538e-05	3.08442e-05	6.47368
14	3.08442e-05	3.46192e-05	6.47368
15	3.46192e-05	3.87021e-05	6.47368
16	3.87021e-05	4.3118e-05	6.47368
17	4.3118e-05	4.7894e-05	6.47368
18	4.7894e-05	5.30594e-05	6.47368
19	5.30594e-05	5.86461e-05	6.47368
20	5.86461e-05	6.46884e-05	6.47368
21	6.46884e-05	7.12235e-05	6.47368
22	7.12235e-05	7.82914e-05	6.47368
23	7.82914e-05	8.59358e-05	6.47368
24	8.59358e-05	9.42036e-05	6.47368
25	9.42036e-05	0.000103146	6.47368
26	0.000103146	0.000112817	6.47368
27	0.000112817	0.000123277	6.47368
28	0.000123277	0.00013459	6.47368
29	0.00013459	0.000146825	6.47368
30	0.000146825	0.000160058	6.47368
31	0.000160058	0.000174371	6.47368
32	0.000174371	0.00018985	6.47368
33	0.00018985	0.000206592	6.47368
34	0.000206592	0.0002247	6.47368
35	0.0002247	0.000244283	6.47368
36	0.000244283	0.000265464	6.47368
37	0.000265464	0.000288373	6.47368
38	0.000288373	0.000313149	6.47368
39	0.000313149	0.000339946	6.47368
40	0.000339946	0.000368928	6.47368
41	0.000368928	0.000400274	6.47368
42	0.000400274	0.000434176	6.47368
43	0.000434176	0.000470843	6.47368
44	0.000470843	0.0005105	6.47368
45	0.0005105	0.00055339	6.47368
46	0.00055339	0.000599779	6.47368
47	0.000599779	0.000649951	6.47368
48	0.000649951	0.000704214	6.47368
49	0.000704214	0.000762902	6.47368
50	0.000762902	0.000826376	6.47368
51	0.000826376	0.000895026	6.47368
52	0.000895026	0.000969275	6.47368
53	0.000969275	0.00104958	6.47368
54	0.00104958	0.00113643	6.47368
55	0.00113643	0.00123037	6.47368
56	0.00123037	0.00133196	6.47368
57	0.00133196	0.00144184	6.47368
58	0.00144184	0.00156069	6.47368
59	0.00156069	0.00168922	6.47368
60	0.00168922	0.00182823	6.47368
61	0.00182823	0.00197859	6.47368
62	0.00197859	0.0021412	6.47368
63	0.0021412	inf	6.47368
