time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.2644e-05	2128.92
1	1.2644e-05	2.63191e-05	2128.92
2	2.63191e-05	4.11094e-05	2128.92
3	4.11094e-05	5.71059e-05	2128.92
4	5.71059e-05	7.44068e-05	950.229
5	7.44068e-05	9.31187e-05	950.229
6	9.31187e-05	0.000113356	1484.2
7	0.000113356	0.000135245	1484.2
8	0.000135245	0.000158918	1404.98
9	0.000158918	0.000184522	1404.98
10	0.000184522	0.000212213	947.558
11	0.000212213	0.000242163	947.558
12	0.000242163	0.000274556	588.196
13	0.000274556	0.000309589	588.196
14	0.000309589	0.00034748	378.594
15	0.00034748	0.000388461	378.594
16	0.000388461	0.000432784	279.369
17	0.000432784	0.000480722	279.369
18	0.000480722	0.000532568	247.503
19	0.000532568	0.000588643	247.503
20	0.000588643	0.000649291	243.38
21	0.000649291	0.000714885	243.38
22	0.000714885	0.000785827	241.518
23	0.000785827	0.000862555	241.518
24	0.000862555	0.00094554	234.041
25	0.00094554	0.00103529	234.041
26	0.00103529	0.00113236	223.363
27	0.00113236	0.00123735	223.363
28	0.00123735	0.0013509	218.695
29	0.0013509	0.00147371	218.695
30	0.00147371	0.00160654	229.793
31	0.00160654	0.00175019	229.793
32	0.00175019	0.00190557	265.381
33	0.00190557	0.00207361	265.381
34	0.00207361	0.00225536	337.676
35	0.00225536	0.00245192	337.676
36	0.00245192	0.00266452	467.206
37	0.00266452	0.00289446	467.206
38	0.00289446	0.00314314	683.667
39	0.00314314	0.00341211	683.667
40	0.00341211	0.00370301	1010.7
41	0.00370301	0.00401763	1010.7
42	0.00401763	0.00435791	1414.42
43	0.00435791	0.00472595	1414.42
44	0.00472595	0.00512399	1785.48
45	0.00512399	0.00555449	1785.48
46	0.00555449	0.00602011	2014.66
47	0.00602011	0.00652369	2014.66
48	0.00652369	0.00706834	2053.73
49	0.00706834	0.0076574	2053.73
50	0.0076574	0.00829451	1919.37
51	0.00829451	0.00898356	1919.37
52	0.00898356	0.00972882	1676.88
53	0.00972882	0.0105348	1676.88
54	0.0105348	0.0114066	1346.38
55	0.0114066	0.0123495	1346.38
56	0.0123495	0.0133692	1346.38
57	0.0133692	0.0144721	1346.38
58	0.0144721	0.0156649	951.886
59	0.0156649	0.016955	951.886
60	0.016955	0.0183504	951.886
61	0.0183504	0.0198595	951.886
62	0.0198595	0.0214917	951.886
63	0.0214917	inf	951.886
