time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.44689e-05	532.845
1	1.44689e-05	3.01177e-05	532.845
2	3.01177e-05	4.70426e-05	532.845
3	4.70426e-05	6.53478e-05	532.845
4	6.53478e-05	8.51458e-05	592.859
5	8.51458e-05	0.000106558	592.859
6	0.000106558	0.000129717	416.687
7	0.000129717	0.000154764	416.687
8	0.000154764	0.000181854	355.857
9	0.000181854	0.000211153	355.857
10	0.000211153	0.000242841	366.803
11	0.000242841	0.000277114	366.803
12	0.000277114	0.000314181	379.879
13	0.000314181	0.000354272	379.879
14	0.000354272	0.000397631	371.372
15	0.000397631	0.000444527	371.372
16	0.000444527	0.000495247	335.468
17	0.000495247	0.000550103	335.468
18	0.000550103	0.000609433	283.681
19	0.000609433	0.000673601	283.681
20	0.000673601	0.000743002	240.628
21	0.000743002	0.000818062	240.628
22	0.000818062	0.000899244	230.117
23	0.000899244	0.000987046	230.117
24	0.000987046	0.00108201	265.194
25	0.00108201	0.00118471	265.194
26	0.00118471	0.0012958	357.882
27	0.0012958	0.00141594	357.882
28	0.00141594	0.00154588	516.806
29	0.00154588	0.00168641	516.806
30	0.00168641	0.00183841	726.728
31	0.00183841	0.0020028	726.728
32	0.0020028	0.00218059	925.746
33	0.00218059	0.00237289	925.746
34	0.00237289	0.00258087	1035.59
35	0.00258087	0.0028058	1035.59
36	0.0028058	0.00304908	1065.09
37	0.00304908	0.00331221	1065.09
38	0.00331221	0.00359678	1091.11
39	0.00359678	0.00390457	1091.11
40	0.00390457	0.00423746	1096.11
41	0.00423746	0.00459749	1096.11
42	0.00459749	0.00498688	852.447
43	0.00498688	0.00540803	852.447
44	0.00540803	0.00586352	307.492
45	0.00586352	0.00635616	307.492
46	0.00635616	0.00688897	36.0015
47	0.00688897	0.00746524	36.0015
48	0.00746524	0.00808849	1.76162
49	0.00808849	0.00876258	1.76162
50	0.00876258	0.00949163	0.563622
51	0.00949163	0.0102801	0.563622
52	0.0102801	0.011133	0.563622
53	0.011133	0.0120553	0.563622
54	0.0120553	0.0130529	0.563622
55	0.0130529	0.0141318	0.563622
56	0.0141318	0.0152987	0.563622
57	0.0152987	0.0165608	0.563622
58	0.0165608	0.0179258	0.563622
59	0.0179258	0.0194021	0.563622
60	0.0194021	0.0209988	0.563622
61	0.0209988	0.0227258	0.563622
62	0.0227258	0.0245935	0.563622
63	0.0245935	inf	0.563622
