time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.07787e-05	550.282
1	1.07787e-05	2.24364e-05	550.282
2	2.24364e-05	3.50448e-05	550.282
3	3.50448e-05	4.86813e-05	550.282
4	4.86813e-05	6.343e-05	1502.73
5	6.343e-05	7.93814e-05	1502.73
6	7.93814e-05	9.66336e-05	754.581
7	9.66336e-05	0.000115293	754.581
8	0.000115293	0.000135474	632.097
9	0.000135474	0.0001573	632.097
10	0.0001573	0.000180907	544.122
11	0.000180907	0.000206438	544.122
12	0.000206438	0.000234052	431.084
13	0.000234052	0.000263917	431.084
14	0.000263917	0.000296218	343.75
15	0.000296218	0.000331154	343.75
16	0.000331154	0.000368938	298.636
17	0.000368938	0.000409803	298.636
18	0.000409803	0.000454001	286.733
19	0.000454001	0.000501804	286.733
20	0.000501804	0.000553504	296.551
21	0.000553504	0.000609421	296.551
22	0.000609421	0.000669898	320.241
23	0.000669898	0.000735307	320.241
24	0.000735307	0.00080605	355.757
25	0.00080605	0.000882562	355.757
26	0.000882562	0.000965313	403.412
27	0.000965313	0.00105481	403.412
28	0.00105481	0.00115161	464.058
29	0.00115161	0.0012563	464.058
30	0.0012563	0.00136953	535.444
31	0.00136953	0.001492	535.444
32	0.001492	0.00162445	611.971
33	0.00162445	0.0017677	611.971
34	0.0017677	0.00192263	685.757
35	0.00192263	0.0020902	685.757
36	0.0020902	0.00227144	754.636
37	0.00227144	0.00246745	754.636
38	0.00246745	0.00267945	813.12
39	0.00267945	0.00290874	813.12
40	0.00290874	0.00315672	852.813
41	0.00315672	0.00342493	852.813
42	0.00342493	0.00371501	864.553
43	0.00371501	0.00402875	864.553
44	0.00402875	0.00436807	840.193
45	0.00436807	0.00473507	840.193
46	0.00473507	0.00513199	780.542
47	0.00513199	0.00556128	780.542
48	0.00556128	0.00602558	691.464
49	0.00602558	0.00652775	691.464
50	0.00652775	0.00707086	575.503
51	0.00707086	0.00765827	575.503
52	0.00765827	0.00829357	439.481
53	0.00829357	0.00898069	439.481
54	0.00898069	0.00972384	237.848
55	0.00972384	0.0105276	237.848
56	0.0105276	0.0113969	237.848
57	0.0113969	0.0123371	237.848
58	0.0123371	0.013354	0.756583
59	0.013354	0.0144538	0.756583
60	0.0144538	0.0156432	0.756583
61	0.0156432	0.0169297	0.756583
62	0.0169297	0.0183211	0.756583
63	0.0183211	inf	0.756583
