time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.09596e-05	22.5753
1	1.09596e-05	2.2813e-05	22.5753
2	2.2813e-05	3.5633e-05	22.5753
3	3.5633e-05	4.94985e-05	22.5753
4	4.94985e-05	6.44947e-05	23.7431
5	6.44947e-05	8.07138e-05	23.7431
6	8.07138e-05	9.82556e-05	23.9016
7	9.82556e-05	0.000117228	23.9016
8	0.000117228	0.000137747	25.154
9	0.000137747	0.00015994	25.154
10	0.00015994	0.000183943	24.0833
11	0.000183943	0.000209903	24.0833
12	0.000209903	0.00023798	24.7233
13	0.00023798	0.000268347	24.7233
14	0.000268347	0.00030119	21.6054
15	0.00030119	0.000336712	21.6054
16	0.000336712	0.000375131	22.7754
17	0.000375131	0.000416682	22.7754
18	0.000416682	0.000461622	23.7466
19	0.000461622	0.000510227	23.7466
20	0.000510227	0.000562795	20.6015
21	0.000562795	0.000619651	20.6015
22	0.000619651	0.000681143	17.8581
23	0.000681143	0.000747649	17.8581
24	0.000747649	0.000819579	14.8341
25	0.000819579	0.000897376	14.8341
26	0.000897376	0.000981516	11.2832
27	0.000981516	0.00107252	11.2832
28	0.00107252	0.00117094	7.65368
29	0.00117094	0.00127739	7.65368
30	0.00127739	0.00139252	4.6312
31	0.00139252	0.00151704	4.6312
32	0.00151704	0.00165171	2.48581
33	0.00165171	0.00179737	2.48581
34	0.00179737	0.00195491	1.1815
35	0.00195491	0.00212529	1.1815
36	0.00212529	0.00230956	0.744094
37	0.00230956	0.00250887	0.744094
38	0.00250887	0.00272443	0.744094
39	0.00272443	0.00295756	0.744094
40	0.00295756	0.00320971	0.744094
41	0.00320971	0.00348242	0.744094
42	0.00348242	0.00377737	0.744094
43	0.00377737	0.00409637	0.744094
44	0.00409637	0.00444139	0.744094
45	0.00444139	0.00481455	0.744094
46	0.00481455	0.00521813	0.744094
47	0.00521813	0.00565463	0.744094
48	0.00565463	0.00612672	0.744094
49	0.00612672	0.00663731	0.744094
50	0.00663731	0.00718955	0.744094
51	0.00718955	0.00778681	0.744094
52	0.00778681	0.00843278	0.744094
53	0.00843278	0.00913144	0.744094
54	0.00913144	0.00988706	0.744094
55	0.00988706	0.0107043	0.744094
56	0.0107043	0.0115882	0.744094
57	0.0115882	0.0125442	0.744094
58	0.0125442	0.0135781	0.744094
59	0.0135781	0.0146964	0.744094
60	0.0146964	0.0159058	0.744094
61	0.0159058	0.0172139	0.744094
62	0.0172139	0.0186286	0.744094
63	0.0186286	inf	0.744094
