time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.59679e-06	947.397
1	8.59679e-06	1.78946e-05	947.397
2	1.78946e-05	2.79507e-05	947.397
3	2.79507e-05	3.88269e-05	947.397
4	3.88269e-05	5.059e-05	2044.92
5	5.059e-05	6.33124e-05	2044.92
6	6.33124e-05	7.70723e-05	1489.93
7	7.70723e-05	9.19543e-05	1489.93
8	9.19543e-05	0.00010805	1250.4
9	0.00010805	0.000125458	1250.4
10	0.000125458	0.000144286	1083.78
11	0.000144286	0.000164649	1083.78
12	0.000164649	0.000186673	964.207
13	0.000186673	0.000210493	964.207
14	0.000210493	0.000236256	905.066
15	0.000236256	0.000264119	905.066
16	0.000264119	0.000294255	885.892
17	0.000294255	0.000326848	885.892
18	0.000326848	0.000362099	881.341
19	0.000362099	0.000400225	881.341
20	0.000400225	0.00044146	844.763
21	0.00044146	0.000486058	844.763
22	0.000486058	0.000534292	769.773
23	0.000534292	0.000586461	769.773
24	0.000586461	0.000642883	689.971
25	0.000642883	0.000703907	689.971
26	0.000703907	0.000769907	634.979
27	0.000769907	0.00084129	634.979
28	0.00084129	0.000918493	616.261
29	0.000918493	0.00100199	616.261
30	0.00100199	0.0010923	627.652
31	0.0010923	0.00118998	627.652
32	0.00118998	0.00129562	658.142
33	0.00129562	0.00140987	658.142
34	0.00140987	0.00153344	698.935
35	0.00153344	0.00166709	698.935
36	0.00166709	0.00181164	748.013
37	0.00181164	0.00196797	748.013
38	0.00196797	0.00213706	806.479
39	0.00213706	0.00231993	806.479
40	0.00231993	0.00251772	865.544
41	0.00251772	0.00273163	865.544
42	0.00273163	0.00296299	911.683
43	0.00296299	0.00321322	911.683
44	0.00321322	0.00348386	910.727
45	0.00348386	0.00377656	910.727
46	0.00377656	0.00409313	794.011
47	0.00409313	0.00443553	794.011
48	0.00443553	0.00480584	507.913
49	0.00480584	0.00520635	507.913
50	0.00520635	0.00563952	192.292
51	0.00563952	0.00610802	192.292
52	0.00610802	0.00661473	41.0038
53	0.00661473	0.00716275	41.0038
54	0.00716275	0.00775547	2.76225
55	0.00775547	0.00839652	2.76225
56	0.00839652	0.00908986	2.76225
57	0.00908986	0.00983973	2.76225
58	0.00983973	0.0106508	0.948608
59	0.0106508	0.0115279	0.948608
60	0.0115279	0.0124766	0.948608
61	0.0124766	0.0135027	0.948608
62	0.0135027	0.0146124	0.948608
63	0.0146124	inf	0.948608
