time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.23008e-05	661.961
1	1.23008e-05	2.56047e-05	661.961
2	2.56047e-05	3.99936e-05	661.961
3	3.99936e-05	5.55558e-05	661.961
4	5.55558e-05	7.23872e-05	721.704
5	7.23872e-05	9.05912e-05	721.704
6	9.05912e-05	0.00011028	511.182
7	0.00011028	0.000131574	511.182
8	0.000131574	0.000154604	657.48
9	0.000154604	0.000179513	657.48
10	0.000179513	0.000206453	697.83
11	0.000206453	0.00023559	697.83
12	0.00023559	0.000267103	542.508
13	0.000267103	0.000301186	542.508
14	0.000301186	0.000338049	438.556
15	0.000338049	0.000377917	438.556
16	0.000377917	0.000421037	386.285
17	0.000421037	0.000467673	386.285
18	0.000467673	0.000518113	353.838
19	0.000518113	0.000572666	353.838
20	0.000572666	0.000631667	325.841
21	0.000631667	0.00069548	325.841
22	0.00069548	0.000764497	313.48
23	0.000764497	0.000839143	313.48
24	0.000839143	0.000919876	314.201
25	0.000919876	0.00100719	314.201
26	0.00100719	0.00110163	329.15
27	0.00110163	0.00120377	329.15
28	0.00120377	0.00131424	361.042
29	0.00131424	0.00143371	361.042
30	0.00143371	0.00156293	413.445
31	0.00156293	0.00170269	413.445
32	0.00170269	0.00185384	492.208
33	0.00185384	0.00201732	492.208
34	0.00201732	0.00219414	584.807
35	0.00219414	0.00238537	584.807
36	0.00238537	0.0025922	654.033
37	0.0025922	0.00281589	654.033
38	0.00281589	0.00305783	651.22
39	0.00305783	0.00331949	651.22
40	0.00331949	0.0036025	532.095
41	0.0036025	0.00390858	532.095
42	0.00390858	0.00423963	288.906
43	0.00423963	0.00459767	288.906
44	0.00459767	0.00498491	73.5339
45	0.00498491	0.00540373	73.5339
46	0.00540373	0.0058567	6.81804
47	0.0058567	0.00634661	6.81804
48	0.00634661	0.00687648	0.662964
49	0.00687648	0.00744956	0.662964
50	0.00744956	0.00806937	0.662964
51	0.00806937	0.00873972	0.662964
52	0.00873972	0.00946475	0.662964
53	0.00946475	0.0102489	0.662964
54	0.0102489	0.011097	0.662964
55	0.011097	0.0120142	0.662964
56	0.0120142	0.0130063	0.662964
57	0.0130063	0.0140793	0.662964
58	0.0140793	0.0152397	0.662964
59	0.0152397	0.0164948	0.662964
60	0.0164948	0.0178523	0.662964
61	0.0178523	0.0193204	0.662964
62	0.0193204	0.0209083	0.662964
63	0.0209083	inf	0.662964
