time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.46698e-05	1987.99
1	1.46698e-05	3.0536e-05	1987.99
2	3.0536e-05	4.7696e-05	1987.99
3	4.7696e-05	6.62554e-05	1987.99
4	6.62554e-05	8.63283e-05	777.988
5	8.63283e-05	0.000108038	777.988
6	0.000108038	0.000131519	31.8414
7	0.000131519	0.000156914	31.8414
8	0.000156914	0.00018438	23.056
9	0.00018438	0.000214086	23.056
10	0.000214086	0.000246214	31.0614
11	0.000246214	0.000280963	31.0614
12	0.000280963	0.000318545	80.1212
13	0.000318545	0.000359192	80.1212
14	0.000359192	0.000403154	161.921
15	0.000403154	0.000450701	161.921
16	0.000450701	0.000502125	190.522
17	0.000502125	0.000557743	190.522
18	0.000557743	0.000617897	186.898
19	0.000617897	0.000682956	186.898
20	0.000682956	0.000753321	175.731
21	0.000753321	0.000829424	175.731
22	0.000829424	0.000911733	188.262
23	0.000911733	0.00100075	188.262
24	0.00100075	0.00109704	236.201
25	0.00109704	0.00120117	236.201
26	0.00120117	0.00131379	316.214
27	0.00131379	0.0014356	316.214
28	0.0014356	0.00156735	416.29
29	0.00156735	0.00170983	416.29
30	0.00170983	0.00186394	521.868
31	0.00186394	0.00203061	521.868
32	0.00203061	0.00221088	624.957
33	0.00221088	0.00240584	624.957
34	0.00240584	0.00261671	729.948
35	0.00261671	0.00284477	729.948
36	0.00284477	0.00309143	850.189
37	0.00309143	0.00335821	850.189
38	0.00335821	0.00364674	1001.04
39	0.00364674	0.0039588	1001.04
40	0.0039588	0.00429631	1176.08
41	0.00429631	0.00466134	1176.08
42	0.00466134	0.00505614	1301.74
43	0.00505614	0.00548314	1301.74
44	0.00548314	0.00594496	1162.72
45	0.00594496	0.00644444	1162.72
46	0.00644444	0.00698465	520.438
47	0.00698465	0.00756892	520.438
48	0.00756892	0.00820083	63.0896
49	0.00820083	0.00888428	63.0896
50	0.00888428	0.00962346	2.90338
51	0.00962346	0.0104229	2.90338
52	0.0104229	0.0112876	0.555902
53	0.0112876	0.0122227	0.555902
54	0.0122227	0.0132342	0.555902
55	0.0132342	0.0143281	0.555902
56	0.0143281	0.0155112	0.555902
57	0.0155112	0.0167908	0.555902
58	0.0167908	0.0181748	0.555902
59	0.0181748	0.0196716	0.555902
60	0.0196716	0.0212905	0.555902
61	0.0212905	0.0230414	0.555902
62	0.0230414	0.0249351	0.555902
63	0.0249351	inf	0.555902
