time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.27224e-06	857.024
1	1.27224e-06	2.64824e-06	857.024
2	2.64824e-06	4.13644e-06	857.024
3	4.13644e-06	5.74601e-06	857.024
4	5.74601e-06	7.48684e-06	6.40994
5	7.48684e-06	9.36963e-06	6.40994
6	9.36963e-06	1.1406e-05	6.40992
7	1.1406e-05	1.36084e-05	6.40992
8	1.36084e-05	1.59904e-05	6.40992
9	1.59904e-05	1.85666e-05	6.40992
10	1.85666e-05	2.1353e-05	6.40992
11	2.1353e-05	2.43665e-05	6.40992
12	2.43665e-05	2.76259e-05	6.40992
13	2.76259e-05	3.1151e-05	6.40992
14	3.1151e-05	3.49636e-05	6.40992
15	3.49636e-05	3.90871e-05	6.40992
16	3.90871e-05	4.35469e-05	6.40992
17	4.35469e-05	4.83704e-05	6.40992
18	4.83704e-05	5.35872e-05	6.40992
19	5.35872e-05	5.92295e-05	6.40992
20	5.92295e-05	6.53319e-05	6.40992
21	6.53319e-05	7.19319e-05	6.40992
22	7.19319e-05	7.90702e-05	6.40992
23	7.90702e-05	8.67906e-05	6.40992
24	8.67906e-05	9.51406e-05	6.40992
25	9.51406e-05	0.000104172	6.40992
26	0.000104172	0.000113939	6.40992
27	0.000113939	0.000124503	6.40992
28	0.000124503	0.000135928	6.40992
29	0.000135928	0.000148285	6.40992
30	0.000148285	0.00016165	6.40992
31	0.00016165	0.000176105	6.40992
32	0.000176105	0.000191739	6.40992
33	0.000191739	0.000208647	6.40992
34	0.000208647	0.000226935	6.40992
35	0.000226935	0.000246713	6.40992
36	0.000246713	0.000268105	6.40992
37	0.000268105	0.000291241	6.40992
38	0.000291241	0.000316264	6.40992
39	0.000316264	0.000343328	6.40992
40	0.000343328	0.000372598	6.40992
41	0.000372598	0.000404256	6.40992
42	0.000404256	0.000438495	6.40992
43	0.000438495	0.000475526	6.40992
44	0.000475526	0.000515578	6.40992
45	0.000515578	0.000558895	6.40992
46	0.000558895	0.000605745	6.40992
47	0.000605745	0.000656416	6.40992
48	0.000656416	0.000711218	6.40992
49	0.000711218	0.00077049	6.40992
50	0.00077049	0.000834596	6.40992
51	0.000834596	0.000903929	6.40992
52	0.000903929	0.000978917	6.40992
53	0.000978917	0.00106002	6.40992
54	0.00106002	0.00114774	6.40992
55	0.00114774	0.00124261	6.40992
56	0.00124261	0.00134521	6.40992
57	0.00134521	0.00145619	6.40992
58	0.00145619	0.00157621	6.40992
59	0.00157621	0.00170602	6.40992
60	0.00170602	0.00184642	6.40992
61	0.00184642	0.00199827	6.40992
62	0.00199827	0.0021625	6.40992
63	0.0021625	inf	6.40992
