time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.24412e-06	199.001
1	6.24412e-06	1.29974e-05	199.001
2	1.29974e-05	2.03015e-05	199.001
3	2.03015e-05	2.82012e-05	199.001
4	2.82012e-05	3.67451e-05	146.111
5	3.67451e-05	4.59858e-05	146.111
6	4.59858e-05	5.598e-05	111.583
7	5.598e-05	6.67893e-05	111.583
8	6.67893e-05	7.84801e-05	98.282
9	7.84801e-05	9.11243e-05	98.282
10	9.11243e-05	0.0001048	83.5804
11	0.0001048	0.00011959	83.5804
12	0.00011959	0.000135587	64.3738
13	0.000135587	0.000152888	64.3738
14	0.000152888	0.0001716	43.5629
15	0.0001716	0.000191838	43.5629
16	0.000191838	0.000213726	30.838
17	0.000213726	0.0002374	30.838
18	0.0002374	0.000263004	21.7603
19	0.000263004	0.000290696	21.7603
20	0.000290696	0.000320646	13.7023
21	0.000320646	0.000353039	13.7023
22	0.000353039	0.000388073	7.24214
23	0.000388073	0.000425965	7.24214
24	0.000425965	0.000466946	3.59129
25	0.000466946	0.00051127	3.59129
26	0.00051127	0.000559208	1.77757
27	0.000559208	0.000611055	1.77757
28	0.000611055	0.000667131	1.30603
29	0.000667131	0.000727779	1.30603
30	0.000727779	0.000793374	1.30603
31	0.000793374	0.000864317	1.30603
32	0.000864317	0.000941046	1.30603
33	0.000941046	0.00102403	1.30603
34	0.00102403	0.00111379	1.30603
35	0.00111379	0.00121086	1.30603
36	0.00121086	0.00131585	1.30603
37	0.00131585	0.0014294	1.30603
38	0.0014294	0.00155221	1.30603
39	0.00155221	0.00168504	1.30603
40	0.00168504	0.0018287	1.30603
41	0.0018287	0.00198407	1.30603
42	0.00198407	0.00215212	1.30603
43	0.00215212	0.00233386	1.30603
44	0.00233386	0.00253043	1.30603
45	0.00253043	0.00274303	1.30603
46	0.00274303	0.00297297	1.30603
47	0.00297297	0.00322166	1.30603
48	0.00322166	0.00349063	1.30603
49	0.00349063	0.00378154	1.30603
50	0.00378154	0.00409616	1.30603
51	0.00409616	0.00443645	1.30603
52	0.00443645	0.00480449	1.30603
53	0.00480449	0.00520253	1.30603
54	0.00520253	0.00563304	1.30603
55	0.00563304	0.00609866	1.30603
56	0.00609866	0.00660225	1.30603
57	0.00660225	0.00714691	1.30603
58	0.00714691	0.00773598	1.30603
59	0.00773598	0.00837309	1.30603
60	0.00837309	0.00906216	1.30603
61	0.00906216	0.00980742	1.30603
62	0.00980742	0.0106135	1.30603
63	0.0106135	inf	1.30603
