time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.22553e-05	400.972
1	1.22553e-05	2.551e-05	400.972
2	2.551e-05	3.98456e-05	400.972
3	3.98456e-05	5.53502e-05	400.972
4	5.53502e-05	7.21193e-05	97.3539
5	7.21193e-05	9.02559e-05	97.3539
6	9.02559e-05	0.000109872	131.362
7	0.000109872	0.000131087	131.362
8	0.000131087	0.000154032	137.675
9	0.000154032	0.000178849	137.675
10	0.000178849	0.000205689	164.402
11	0.000205689	0.000234718	164.402
12	0.000234718	0.000266115	343.187
13	0.000266115	0.000300072	343.187
14	0.000300072	0.000336798	779.957
15	0.000336798	0.000376519	779.957
16	0.000376519	0.000419479	1255.51
17	0.000419479	0.000465943	1255.51
18	0.000465943	0.000516195	1406.22
19	0.000516195	0.000570546	1406.22
20	0.000570546	0.00062933	1219.33
21	0.00062933	0.000692906	1219.33
22	0.000692906	0.000761668	957.892
23	0.000761668	0.000836037	957.892
24	0.000836037	0.000916471	746.589
25	0.000916471	0.00100346	746.589
26	0.00100346	0.00109755	587.427
27	0.00109755	0.00119931	587.427
28	0.00119931	0.00130937	465.244
29	0.00130937	0.00142841	465.244
30	0.00142841	0.00155715	379.312
31	0.00155715	0.00169639	379.312
32	0.00169639	0.00184698	331.614
33	0.00184698	0.00200986	331.614
34	0.00200986	0.00218602	322.4
35	0.00218602	0.00237654	322.4
36	0.00237654	0.0025826	357.961
37	0.0025826	0.00280547	357.961
38	0.00280547	0.00304651	454.369
39	0.00304651	0.00330721	454.369
40	0.00330721	0.00358917	635.912
41	0.00358917	0.00389412	635.912
42	0.00389412	0.00422394	906.211
43	0.00422394	0.00458065	906.211
44	0.00458065	0.00496646	1192.19
45	0.00496646	0.00538373	1192.19
46	0.00538373	0.00583503	1381.91
47	0.00583503	0.00632313	1381.91
48	0.00632313	0.00685103	1421.7
49	0.00685103	0.00742199	1421.7
50	0.00742199	0.0080395	1320.67
51	0.0080395	0.00870738	1320.67
52	0.00870738	0.00942972	1066.26
53	0.00942972	0.010211	1066.26
54	0.010211	0.0110559	346.579
55	0.0110559	0.0119698	346.579
56	0.0119698	0.0129582	346.579
57	0.0129582	0.0140272	346.579
58	0.0140272	0.0151833	0.665426
59	0.0151833	0.0164338	0.665426
60	0.0164338	0.0177862	0.665426
61	0.0177862	0.0192489	0.665426
62	0.0192489	0.0208309	0.665426
63	0.0208309	inf	0.665426
