time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.43726e-06	2288.15
1	4.43726e-06	9.23638e-06	2288.15
2	9.23638e-06	1.44269e-05	2288.15
3	1.44269e-05	2.00406e-05	2288.15
4	2.00406e-05	2.61122e-05	20656.1
5	2.61122e-05	3.26789e-05	20656.1
6	3.26789e-05	3.97811e-05	7673.99
7	3.97811e-05	4.74626e-05	7673.99
8	4.74626e-05	5.57704e-05	2100.04
9	5.57704e-05	6.47557e-05	2100.04
10	6.47557e-05	7.44738e-05	1047.24
11	7.44738e-05	8.49844e-05	1047.24
12	8.49844e-05	9.63521e-05	869.334
13	9.63521e-05	0.000108647	869.334
14	0.000108647	0.000121944	899.194
15	0.000121944	0.000136326	899.194
16	0.000136326	0.000151881	1090.94
17	0.000151881	0.000168704	1090.94
18	0.000168704	0.000186899	1325.35
19	0.000186899	0.000206578	1325.35
20	0.000206578	0.000227861	1543.68
21	0.000227861	0.00025088	1543.68
22	0.00025088	0.000275777	1650.76
23	0.000275777	0.000302704	1650.76
24	0.000302704	0.000331827	1625.78
25	0.000331827	0.000363324	1625.78
26	0.000363324	0.00039739	1522.74
27	0.00039739	0.000434235	1522.74
28	0.000434235	0.000474084	1419.34
29	0.000474084	0.000517183	1419.34
30	0.000517183	0.000563796	1329.51
31	0.000563796	0.000614211	1329.51
32	0.000614211	0.000668737	1247.5
33	0.000668737	0.000727709	1247.5
34	0.000727709	0.000791491	1170.82
35	0.000791491	0.000860474	1170.82
36	0.000860474	0.000935083	1097.73
37	0.000935083	0.00101578	1097.73
38	0.00101578	0.00110305	1045.2
39	0.00110305	0.00119744	1045.2
40	0.00119744	0.00129953	1040.89
41	0.00129953	0.00140994	1040.89
42	0.00140994	0.00152936	1109.5
43	0.00152936	0.00165852	1109.5
44	0.00165852	0.0017982	1264.21
45	0.0017982	0.00194929	1264.21
46	0.00194929	0.00211269	1466.91
47	0.00211269	0.00228941	1466.91
48	0.00228941	0.00248055	1602.13
49	0.00248055	0.00268728	1602.13
50	0.00268728	0.00291086	1550.36
51	0.00291086	0.00315268	1550.36
52	0.00315268	0.00341422	1320.41
53	0.00341422	0.00369708	1320.41
54	0.00369708	0.00400302	1136.16
55	0.00400302	0.0043339	1136.16
56	0.0043339	0.00469176	1136.16
57	0.00469176	0.00507881	1136.16
58	0.00507881	0.00549743	1536.42
59	0.00549743	0.00595018	1536.42
60	0.00595018	0.00643985	1536.42
61	0.00643985	0.00696946	1536.42
62	0.00696946	0.00754225	1536.42
63	0.00754225	inf	1536.42
