time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.37662e-07	4469.79
1	5.37662e-07	1.11917e-06	4469.79
2	1.11917e-06	1.7481e-06	4469.79
3	1.7481e-06	2.42832e-06	4469.79
4	2.42832e-06	3.16401e-06	15.1675
5	3.16401e-06	3.9597e-06	15.1675
6	3.9597e-06	4.82027e-06	15.1675
7	4.82027e-06	5.75102e-06	15.1675
8	5.75102e-06	6.75768e-06	15.1675
9	6.75768e-06	7.84643e-06	15.1675
10	7.84643e-06	9.02397e-06	15.1675
11	9.02397e-06	1.02975e-05	15.1675
12	1.02975e-05	1.1675e-05	15.1675
13	1.1675e-05	1.31647e-05	15.1675
14	1.31647e-05	1.47759e-05	15.1675
15	1.47759e-05	1.65186e-05	15.1675
16	1.65186e-05	1.84033e-05	15.1675
17	1.84033e-05	2.04418e-05	15.1675
18	2.04418e-05	2.26465e-05	15.1675
19	2.26465e-05	2.50309e-05	15.1675
20	2.50309e-05	2.76099e-05	15.1675
21	2.76099e-05	3.03991e-05	15.1675
22	3.03991e-05	3.34158e-05	15.1675
23	3.34158e-05	3.66785e-05	15.1675
24	3.66785e-05	4.02073e-05	15.1675
25	4.02073e-05	4.40239e-05	15.1675
26	4.40239e-05	4.81517e-05	15.1675
27	4.81517e-05	5.26161e-05	15.1675
28	5.26161e-05	5.74446e-05	15.1675
29	5.74446e-05	6.26669e-05	15.1675
30	6.26669e-05	6.8315e-05	15.1675
31	6.8315e-05	7.44237e-05	15.1675
32	7.44237e-05	8.10306e-05	15.1675
33	8.10306e-05	8.81763e-05	15.1675
34	8.81763e-05	9.59047e-05	15.1675
35	9.59047e-05	0.000104263	15.1675
36	0.000104263	0.000113304	15.1675
37	0.000113304	0.000123081	15.1675
38	0.000123081	0.000133656	15.1675
39	0.000133656	0.000145093	15.1675
40	0.000145093	0.000157464	15.1675
41	0.000157464	0.000170842	15.1675
42	0.000170842	0.000185312	15.1675
43	0.000185312	0.000200962	15.1675
44	0.000200962	0.000217888	15.1675
45	0.000217888	0.000236194	15.1675
46	0.000236194	0.000255994	15.1675
47	0.000255994	0.000277408	15.1675
48	0.000277408	0.000300568	15.1675
49	0.000300568	0.000325617	15.1675
50	0.000325617	0.000352708	15.1675
51	0.000352708	0.000382009	15.1675
52	0.000382009	0.0004137	15.1675
53	0.0004137	0.000447974	15.1675
54	0.000447974	0.000485044	15.1675
55	0.000485044	0.000525137	15.1675
56	0.000525137	0.0005685	15.1675
57	0.0005685	0.000615398	15.1675
58	0.000615398	0.000666122	15.1675
59	0.000666122	0.000720981	15.1675
60	0.000720981	0.000780315	15.1675
61	0.000780315	0.000844487	15.1675
62	0.000844487	0.000913892	15.1675
63	0.000913892	inf	15.1675
