time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.06831e-06	303.065
1	6.06831e-06	1.26315e-05	303.065
2	1.26315e-05	1.97299e-05	303.065
3	1.97299e-05	2.74072e-05	303.065
4	2.74072e-05	3.57105e-05	1.34386
5	3.57105e-05	4.4691e-05	1.34386
6	4.4691e-05	5.44039e-05	1.34386
7	5.44039e-05	6.49088e-05	1.34386
8	6.49088e-05	7.62704e-05	1.34386
9	7.62704e-05	8.85585e-05	1.34386
10	8.85585e-05	0.000101849	1.34386
11	0.000101849	0.000116223	1.34386
12	0.000116223	0.000131769	1.34386
13	0.000131769	0.000148583	1.34386
14	0.000148583	0.000166768	1.34386
15	0.000166768	0.000186437	1.34386
16	0.000186437	0.000207709	1.34386
17	0.000207709	0.000230716	1.34386
18	0.000230716	0.000255599	1.34386
19	0.000255599	0.000282511	1.34386
20	0.000282511	0.000311618	1.34386
21	0.000311618	0.000343099	1.34386
22	0.000343099	0.000377147	1.34386
23	0.000377147	0.000413971	1.34386
24	0.000413971	0.000453799	1.34386
25	0.000453799	0.000496874	1.34386
26	0.000496874	0.000543463	1.34386
27	0.000543463	0.00059385	1.34386
28	0.00059385	0.000648347	1.34386
29	0.000648347	0.000707288	1.34386
30	0.000707288	0.000771035	1.34386
31	0.000771035	0.000839981	1.34386
32	0.000839981	0.00091455	1.34386
33	0.00091455	0.0009952	1.34386
34	0.0009952	0.00108243	1.34386
35	0.00108243	0.00117677	1.34386
36	0.00117677	0.0012788	1.34386
37	0.0012788	0.00138915	1.34386
38	0.00138915	0.00150851	1.34386
39	0.00150851	0.00163759	1.34386
40	0.00163759	0.00177721	1.34386
41	0.00177721	0.00192821	1.34386
42	0.00192821	0.00209152	1.34386
43	0.00209152	0.00226815	1.34386
44	0.00226815	0.00245919	1.34386
45	0.00245919	0.0026658	1.34386
46	0.0026658	0.00288927	1.34386
47	0.00288927	0.00313095	1.34386
48	0.00313095	0.00339235	1.34386
49	0.00339235	0.00367506	1.34386
50	0.00367506	0.00398083	1.34386
51	0.00398083	0.00431154	1.34386
52	0.00431154	0.00466921	1.34386
53	0.00466921	0.00505605	1.34386
54	0.00505605	0.00547444	1.34386
55	0.00547444	0.00592695	1.34386
56	0.00592695	0.00641636	1.34386
57	0.00641636	0.00694568	1.34386
58	0.00694568	0.00751816	1.34386
59	0.00751816	0.00813734	1.34386
60	0.00813734	0.008807	1.34386
61	0.008807	0.00953128	1.34386
62	0.00953128	0.0103146	1.34386
63	0.0103146	inf	1.34386
