time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.11339e-06	65.4691
1	8.11339e-06	1.68884e-05	65.4691
2	1.68884e-05	2.63791e-05	65.4691
3	2.63791e-05	3.66436e-05	65.4691
4	3.66436e-05	4.77453e-05	73.4963
5	4.77453e-05	5.97523e-05	73.4963
6	5.97523e-05	7.27385e-05	66.2145
7	7.27385e-05	8.67837e-05	66.2145
8	8.67837e-05	0.000101974	65.1487
9	0.000101974	0.000118404	65.1487
10	0.000118404	0.000136173	70.6839
11	0.000136173	0.000155391	70.6839
12	0.000155391	0.000176177	76.4383
13	0.000176177	0.000198657	76.4383
14	0.000198657	0.000222971	82.6225
15	0.000222971	0.000249268	82.6225
16	0.000249268	0.000277709	83.6294
17	0.000277709	0.000308469	83.6294
18	0.000308469	0.000341738	74.7013
19	0.000341738	0.00037772	74.7013
20	0.00037772	0.000416637	58.9694
21	0.000416637	0.000458727	58.9694
22	0.000458727	0.000504249	42.4069
23	0.000504249	0.000553484	42.4069
24	0.000553484	0.000606734	29.7741
25	0.000606734	0.000664326	29.7741
26	0.000664326	0.000726615	21.1582
27	0.000726615	0.000793984	21.1582
28	0.000793984	0.000866846	14.986
29	0.000866846	0.000945651	14.986
30	0.000945651	0.00103088	10.0499
31	0.00103088	0.00112306	10.0499
32	0.00112306	0.00122276	5.93145
33	0.00122276	0.00133059	5.93145
34	0.00133059	0.00144721	2.92049
35	0.00144721	0.00157335	2.92049
36	0.00157335	0.00170977	1.19689
37	0.00170977	0.00185731	1.19689
38	0.00185731	0.00201689	1.00513
39	0.00201689	0.00218948	1.00513
40	0.00218948	0.00237614	1.00513
41	0.00237614	0.00257803	1.00513
42	0.00257803	0.00279638	1.00513
43	0.00279638	0.00303254	1.00513
44	0.00303254	0.00328796	1.00513
45	0.00328796	0.0035642	1.00513
46	0.0035642	0.00386298	1.00513
47	0.00386298	0.00418611	1.00513
48	0.00418611	0.0045356	1.00513
49	0.0045356	0.0049136	1.00513
50	0.0049136	0.00532241	1.00513
51	0.00532241	0.00576457	1.00513
52	0.00576457	0.00624278	1.00513
53	0.00624278	0.00675999	1.00513
54	0.00675999	0.00731938	1.00513
55	0.00731938	0.00792439	1.00513
56	0.00792439	0.00857873	1.00513
57	0.00857873	0.00928644	1.00513
58	0.00928644	0.0100519	1.00513
59	0.0100519	0.0108797	1.00513
60	0.0108797	0.011775	1.00513
61	0.011775	0.0127434	1.00513
62	0.0127434	0.0137908	1.00513
63	0.0137908	inf	1.00513
