time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.42895e-06	321.649
1	3.42895e-06	7.13754e-06	321.649
2	7.13754e-06	1.11486e-05	321.649
3	1.11486e-05	1.54867e-05	321.649
4	1.54867e-05	2.01786e-05	2.37827
5	2.01786e-05	2.52531e-05	2.37827
6	2.52531e-05	3.07414e-05	2.37827
7	3.07414e-05	3.66773e-05	2.37827
8	3.66773e-05	4.30973e-05	2.37827
9	4.30973e-05	5.00408e-05	2.37827
10	5.00408e-05	5.75506e-05	2.37827
11	5.75506e-05	6.56728e-05	2.37827
12	6.56728e-05	7.44573e-05	2.37827
13	7.44573e-05	8.39583e-05	2.37827
14	8.39583e-05	9.4234e-05	2.37827
15	9.4234e-05	0.000105348	2.37827
16	0.000105348	0.000117368	2.37827
17	0.000117368	0.000130368	2.37827
18	0.000130368	0.000144428	2.37827
19	0.000144428	0.000159636	2.37827
20	0.000159636	0.000176083	2.37827
21	0.000176083	0.000193871	2.37827
22	0.000193871	0.00021311	2.37827
23	0.00021311	0.000233918	2.37827
24	0.000233918	0.000256423	2.37827
25	0.000256423	0.000280764	2.37827
26	0.000280764	0.000307089	2.37827
27	0.000307089	0.000335561	2.37827
28	0.000335561	0.000366354	2.37827
29	0.000366354	0.00039966	2.37827
30	0.00039966	0.000435681	2.37827
31	0.000435681	0.000474639	2.37827
32	0.000474639	0.000516775	2.37827
33	0.000516775	0.000562347	2.37827
34	0.000562347	0.000611635	2.37827
35	0.000611635	0.000664943	2.37827
36	0.000664943	0.000722598	2.37827
37	0.000722598	0.000784954	2.37827
38	0.000784954	0.000852396	2.37827
39	0.000852396	0.000925338	2.37827
40	0.000925338	0.00100423	2.37827
41	0.00100423	0.00108955	2.37827
42	0.00108955	0.00118183	2.37827
43	0.00118183	0.00128164	2.37827
44	0.00128164	0.00138959	2.37827
45	0.00138959	0.00150634	2.37827
46	0.00150634	0.00163261	2.37827
47	0.00163261	0.00176917	2.37827
48	0.00176917	0.00191688	2.37827
49	0.00191688	0.00207663	2.37827
50	0.00207663	0.00224941	2.37827
51	0.00224941	0.00243627	2.37827
52	0.00243627	0.00263838	2.37827
53	0.00263838	0.00285697	2.37827
54	0.00285697	0.00309338	2.37827
55	0.00309338	0.00334908	2.37827
56	0.00334908	0.00362562	2.37827
57	0.00362562	0.00392472	2.37827
58	0.00392472	0.00424821	2.37827
59	0.00424821	0.00459808	2.37827
60	0.00459808	0.00497648	2.37827
61	0.00497648	0.00538574	2.37827
62	0.00538574	0.00582837	2.37827
63	0.00582837	inf	2.37827
