time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.18926e-06	6190.91
1	1.18926e-06	2.4755e-06	6190.91
2	2.4755e-06	3.86664e-06	6190.91
3	3.86664e-06	5.37122e-06	6190.91
4	5.37122e-06	6.9985e-06	155.736
5	6.9985e-06	8.75848e-06	155.736
6	8.75848e-06	1.0662e-05	8.43881
7	1.0662e-05	1.27207e-05	8.43881
8	1.27207e-05	1.49474e-05	6.8572
9	1.49474e-05	1.73556e-05	6.8572
10	1.73556e-05	1.99602e-05	6.8572
11	1.99602e-05	2.27772e-05	6.8572
12	2.27772e-05	2.58239e-05	6.8572
13	2.58239e-05	2.91191e-05	6.8572
14	2.91191e-05	3.2683e-05	6.8572
15	3.2683e-05	3.65376e-05	6.8572
16	3.65376e-05	4.07065e-05	6.8572
17	4.07065e-05	4.52153e-05	6.8572
18	4.52153e-05	5.00919e-05	6.8572
19	5.00919e-05	5.53661e-05	6.8572
20	5.53661e-05	6.10705e-05	6.8572
21	6.10705e-05	6.724e-05	6.8572
22	6.724e-05	7.39127e-05	6.8572
23	7.39127e-05	8.11295e-05	6.8572
24	8.11295e-05	8.89349e-05	6.8572
25	8.89349e-05	9.73767e-05	6.8572
26	9.73767e-05	0.000106507	6.8572
27	0.000106507	0.000116382	6.8572
28	0.000116382	0.000127062	6.8572
29	0.000127062	0.000138613	6.8572
30	0.000138613	0.000151106	6.8572
31	0.000151106	0.000164618	6.8572
32	0.000164618	0.000179232	6.8572
33	0.000179232	0.000195038	6.8572
34	0.000195038	0.000212132	6.8572
35	0.000212132	0.000230621	6.8572
36	0.000230621	0.000250617	6.8572
37	0.000250617	0.000272244	6.8572
38	0.000272244	0.000295635	6.8572
39	0.000295635	0.000320933	6.8572
40	0.000320933	0.000348295	6.8572
41	0.000348295	0.000377887	6.8572
42	0.000377887	0.000409893	6.8572
43	0.000409893	0.000444509	6.8572
44	0.000444509	0.000481948	6.8572
45	0.000481948	0.00052244	6.8572
46	0.00052244	0.000566234	6.8572
47	0.000566234	0.0006136	6.8572
48	0.0006136	0.000664828	6.8572
49	0.000664828	0.000720234	6.8572
50	0.000720234	0.000780158	6.8572
51	0.000780158	0.000844969	6.8572
52	0.000844969	0.000915065	6.8572
53	0.000915065	0.000990878	6.8572
54	0.000990878	0.00107287	6.8572
55	0.00107287	0.00116155	6.8572
56	0.00116155	0.00125747	6.8572
57	0.00125747	0.0013612	6.8572
58	0.0013612	0.0014734	6.8572
59	0.0014734	0.00159474	6.8572
60	0.00159474	0.00172598	6.8572
61	0.00172598	0.00186793	6.8572
62	0.00186793	0.00202145	6.8572
63	0.00202145	inf	6.8572
