time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.16009e-06	297.701
1	4.16009e-06	8.65944e-06	297.701
2	8.65944e-06	1.35257e-05	297.701
3	1.35257e-05	1.87888e-05	297.701
4	1.87888e-05	2.44811e-05	1.96029
5	2.44811e-05	3.06377e-05	1.96029
6	3.06377e-05	3.72963e-05	1.96029
7	3.72963e-05	4.44979e-05	1.96029
8	4.44979e-05	5.22867e-05	1.96029
9	5.22867e-05	6.07108e-05	1.96029
10	6.07108e-05	6.98218e-05	1.96029
11	6.98218e-05	7.96759e-05	1.96029
12	7.96759e-05	9.03335e-05	1.96029
13	9.03335e-05	0.00010186	1.96029
14	0.00010186	0.000114327	1.96029
15	0.000114327	0.000127811	1.96029
16	0.000127811	0.000142394	1.96029
17	0.000142394	0.000158166	1.96029
18	0.000158166	0.000175224	1.96029
19	0.000175224	0.000193674	1.96029
20	0.000193674	0.000213628	1.96029
21	0.000213628	0.000235209	1.96029
22	0.000235209	0.000258551	1.96029
23	0.000258551	0.000283796	1.96029
24	0.000283796	0.000311099	1.96029
25	0.000311099	0.000340629	1.96029
26	0.000340629	0.000372568	1.96029
27	0.000372568	0.000407111	1.96029
28	0.000407111	0.000444471	1.96029
29	0.000444471	0.000484877	1.96029
30	0.000484877	0.000528579	1.96029
31	0.000528579	0.000575844	1.96029
32	0.000575844	0.000626965	1.96029
33	0.000626965	0.000682253	1.96029
34	0.000682253	0.000742051	1.96029
35	0.000742051	0.000806725	1.96029
36	0.000806725	0.000876674	1.96029
37	0.000876674	0.000952326	1.96029
38	0.000952326	0.00103415	1.96029
39	0.00103415	0.00112264	1.96029
40	0.00112264	0.00121835	1.96029
41	0.00121835	0.00132187	1.96029
42	0.00132187	0.00143383	1.96029
43	0.00143383	0.00155492	1.96029
44	0.00155492	0.00168588	1.96029
45	0.00168588	0.00182752	1.96029
46	0.00182752	0.00198072	1.96029
47	0.00198072	0.00214641	1.96029
48	0.00214641	0.00232561	1.96029
49	0.00232561	0.00251942	1.96029
50	0.00251942	0.00272904	1.96029
51	0.00272904	0.00295575	1.96029
52	0.00295575	0.00320095	1.96029
53	0.00320095	0.00346615	1.96029
54	0.00346615	0.00375297	1.96029
55	0.00375297	0.00406318	1.96029
56	0.00406318	0.0043987	1.96029
57	0.0043987	0.00476157	1.96029
58	0.00476157	0.00515403	1.96029
59	0.00515403	0.0055785	1.96029
60	0.0055785	0.00603759	1.96029
61	0.00603759	0.00653411	1.96029
62	0.00653411	0.00707113	1.96029
63	0.00707113	inf	1.96029
