time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.52714e-05	320.567
1	1.52714e-05	3.17882e-05	320.567
2	3.17882e-05	4.9652e-05	320.567
3	4.9652e-05	6.89725e-05	320.567
4	6.89725e-05	8.98686e-05	337.177
5	8.98686e-05	0.000112469	337.177
6	0.000112469	0.000136912	278.54
7	0.000136912	0.000163349	278.54
8	0.000163349	0.000191941	223.778
9	0.000191941	0.000222865	223.778
10	0.000222865	0.000256311	352.567
11	0.000256311	0.000292485	352.567
12	0.000292485	0.000331608	316.553
13	0.000331608	0.000373922	316.553
14	0.000373922	0.000419687	270.551
15	0.000419687	0.000469184	270.551
16	0.000469184	0.000522717	238.063
17	0.000522717	0.000580616	238.063
18	0.000580616	0.000643237	263.914
19	0.000643237	0.000710964	263.914
20	0.000710964	0.000784214	314.513
21	0.000784214	0.000863438	314.513
22	0.000863438	0.000949123	352.93
23	0.000949123	0.00104179	352.93
24	0.00104179	0.00114202	368.872
25	0.00114202	0.00125043	368.872
26	0.00125043	0.00136767	374.776
27	0.00136767	0.00149448	374.776
28	0.00149448	0.00163162	391.411
29	0.00163162	0.00177995	391.411
30	0.00177995	0.00194038	429.468
31	0.00194038	0.00211389	429.468
32	0.00211389	0.00230154	485.095
33	0.00230154	0.00250451	485.095
34	0.00250451	0.00272402	548.16
35	0.00272402	0.00296143	548.16
36	0.00296143	0.00321821	616.147
37	0.00321821	0.00349593	616.147
38	0.00349593	0.00379629	677.067
39	0.00379629	0.00412115	677.067
40	0.00412115	0.0044725	662.784
41	0.0044725	0.0048525	662.784
42	0.0048525	0.00526349	446.873
43	0.00526349	0.005708	446.873
44	0.005708	0.00618876	139.985
45	0.00618876	0.00670872	139.985
46	0.00670872	0.00727109	16.599
47	0.00727109	0.00787931	16.599
48	0.00787931	0.00853714	0.91491
49	0.00853714	0.00924862	0.91491
50	0.00924862	0.0100181	0.534003
51	0.0100181	0.0108504	0.534003
52	0.0108504	0.0117505	0.534003
53	0.0117505	0.012724	0.534003
54	0.012724	0.0137769	0.534003
55	0.0137769	0.0149157	0.534003
56	0.0149157	0.0161473	0.534003
57	0.0161473	0.0174794	0.534003
58	0.0174794	0.0189201	0.534003
59	0.0189201	0.0204783	0.534003
60	0.0204783	0.0221636	0.534003
61	0.0221636	0.0239863	0.534003
62	0.0239863	0.0259576	0.534003
63	0.0259576	inf	0.534003
