time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.03731e-06	116.933
1	8.03731e-06	1.67301e-05	116.933
2	1.67301e-05	2.61317e-05	116.933
3	2.61317e-05	3.63001e-05	116.933
4	3.63001e-05	4.72976e-05	113.677
5	4.72976e-05	5.91921e-05	113.677
6	5.91921e-05	7.20565e-05	113.319
7	7.20565e-05	8.597e-05	113.319
8	8.597e-05	0.000101018	104.807
9	0.000101018	0.000117293	104.807
10	0.000117293	0.000134896	60.8667
11	0.000134896	0.000153934	60.8667
12	0.000153934	0.000174525	34.4595
13	0.000174525	0.000196794	34.4595
14	0.000196794	0.00022088	19.9856
15	0.00022088	0.00024693	19.9856
16	0.00024693	0.000275105	9.79179
17	0.000275105	0.000305577	9.79179
18	0.000305577	0.000338534	4.54042
19	0.000338534	0.000374178	4.54042
20	0.000374178	0.00041273	2.21257
21	0.00041273	0.000454425	2.21257
22	0.000454425	0.000499521	1.08497
23	0.000499521	0.000548294	1.08497
24	0.000548294	0.000601045	1.01464
25	0.000601045	0.000658097	1.01464
26	0.000658097	0.000719802	1.01464
27	0.000719802	0.000786539	1.01464
28	0.000786539	0.000858718	1.01464
29	0.000858718	0.000936784	1.01464
30	0.000936784	0.00102122	1.01464
31	0.00102122	0.00111253	1.01464
32	0.00111253	0.0012113	1.01464
33	0.0012113	0.00131812	1.01464
34	0.00131812	0.00143364	1.01464
35	0.00143364	0.0015586	1.01464
36	0.0015586	0.00169374	1.01464
37	0.00169374	0.0018399	1.01464
38	0.0018399	0.00199798	1.01464
39	0.00199798	0.00216895	1.01464
40	0.00216895	0.00235386	1.01464
41	0.00235386	0.00255386	1.01464
42	0.00255386	0.00277016	1.01464
43	0.00277016	0.00300411	1.01464
44	0.00300411	0.00325713	1.01464
45	0.00325713	0.00353078	1.01464
46	0.00353078	0.00382676	1.01464
47	0.00382676	0.00414686	1.01464
48	0.00414686	0.00449308	1.01464
49	0.00449308	0.00486752	1.01464
50	0.00486752	0.00527251	1.01464
51	0.00527251	0.00571052	1.01464
52	0.00571052	0.00618424	1.01464
53	0.00618424	0.00669661	1.01464
54	0.00669661	0.00725075	1.01464
55	0.00725075	0.00785008	1.01464
56	0.00785008	0.00849829	1.01464
57	0.00849829	0.00919936	1.01464
58	0.00919936	0.00995761	1.01464
59	0.00995761	0.0107777	1.01464
60	0.0107777	0.0116646	1.01464
61	0.0116646	0.0126239	1.01464
62	0.0126239	0.0136614	1.01464
63	0.0136614	inf	1.01464
