time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.48424e-06	498.192
1	2.48424e-06	5.17107e-06	498.192
2	5.17107e-06	8.07701e-06	498.192
3	8.07701e-06	1.12199e-05	498.192
4	1.12199e-05	1.46192e-05	3.28268
5	1.46192e-05	1.82956e-05	3.28268
6	1.82956e-05	2.22718e-05	3.28268
7	2.22718e-05	2.65723e-05	3.28268
8	2.65723e-05	3.12235e-05	3.28268
9	3.12235e-05	3.62541e-05	3.28268
10	3.62541e-05	4.16948e-05	3.28268
11	4.16948e-05	4.75793e-05	3.28268
12	4.75793e-05	5.39436e-05	3.28268
13	5.39436e-05	6.08269e-05	3.28268
14	6.08269e-05	6.82716e-05	3.28268
15	6.82716e-05	7.63233e-05	3.28268
16	7.63233e-05	8.50317e-05	3.28268
17	8.50317e-05	9.44503e-05	3.28268
18	9.44503e-05	0.000104637	3.28268
19	0.000104637	0.000115654	3.28268
20	0.000115654	0.00012757	3.28268
21	0.00012757	0.000140458	3.28268
22	0.000140458	0.000154396	3.28268
23	0.000154396	0.000169471	3.28268
24	0.000169471	0.000185776	3.28268
25	0.000185776	0.00020341	3.28268
26	0.00020341	0.000222483	3.28268
27	0.000222483	0.00024311	3.28268
28	0.00024311	0.00026542	3.28268
29	0.00026542	0.000289549	3.28268
30	0.000289549	0.000315646	3.28268
31	0.000315646	0.000343871	3.28268
32	0.000343871	0.000374398	3.28268
33	0.000374398	0.000407414	3.28268
34	0.000407414	0.000443123	3.28268
35	0.000443123	0.000481744	3.28268
36	0.000481744	0.000523514	3.28268
37	0.000523514	0.000568691	3.28268
38	0.000568691	0.000617552	3.28268
39	0.000617552	0.000670398	3.28268
40	0.000670398	0.000727553	3.28268
41	0.000727553	0.000789369	3.28268
42	0.000789369	0.000856226	3.28268
43	0.000856226	0.000928535	3.28268
44	0.000928535	0.00100674	3.28268
45	0.00100674	0.00109132	3.28268
46	0.00109132	0.00118281	3.28268
47	0.00118281	0.00128175	3.28268
48	0.00128175	0.00138876	3.28268
49	0.00138876	0.0015045	3.28268
50	0.0015045	0.00162967	3.28268
51	0.00162967	0.00176506	3.28268
52	0.00176506	0.00191148	3.28268
53	0.00191148	0.00206984	3.28268
54	0.00206984	0.00224112	3.28268
55	0.00224112	0.00242637	3.28268
56	0.00242637	0.00262673	3.28268
57	0.00262673	0.00284342	3.28268
58	0.00284342	0.00307778	3.28268
59	0.00307778	0.00333126	3.28268
60	0.00333126	0.00360541	3.28268
61	0.00360541	0.00390191	3.28268
62	0.00390191	0.0042226	3.28268
63	0.0042226	inf	3.28268
