time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.58597e-06	519.33
1	2.58597e-06	5.38283e-06	519.33
2	5.38283e-06	8.40776e-06	519.33
3	8.40776e-06	1.16794e-05	519.33
4	1.16794e-05	1.52178e-05	3.15355
5	1.52178e-05	1.90448e-05	3.15355
6	1.90448e-05	2.31839e-05	3.15355
7	2.31839e-05	2.76605e-05	3.15355
8	2.76605e-05	3.25021e-05	3.15355
9	3.25021e-05	3.77387e-05	3.15355
10	3.77387e-05	4.34022e-05	3.15355
11	4.34022e-05	4.95276e-05	3.15355
12	4.95276e-05	5.61526e-05	3.15355
13	5.61526e-05	6.33178e-05	3.15355
14	6.33178e-05	7.10673e-05	3.15355
15	7.10673e-05	7.94488e-05	3.15355
16	7.94488e-05	8.85138e-05	3.15355
17	8.85138e-05	9.8318e-05	3.15355
18	9.8318e-05	0.000108922	3.15355
19	0.000108922	0.00012039	3.15355
20	0.00012039	0.000132794	3.15355
21	0.000132794	0.000146209	3.15355
22	0.000146209	0.000160719	3.15355
23	0.000160719	0.000176411	3.15355
24	0.000176411	0.000193384	3.15355
25	0.000193384	0.00021174	3.15355
26	0.00021174	0.000231593	3.15355
27	0.000231593	0.000253066	3.15355
28	0.000253066	0.000276289	3.15355
29	0.000276289	0.000301406	3.15355
30	0.000301406	0.000328572	3.15355
31	0.000328572	0.000357953	3.15355
32	0.000357953	0.00038973	3.15355
33	0.00038973	0.000424098	3.15355
34	0.000424098	0.000461269	3.15355
35	0.000461269	0.000501471	3.15355
36	0.000501471	0.000544952	3.15355
37	0.000544952	0.000591979	3.15355
38	0.000591979	0.000642841	3.15355
39	0.000642841	0.00069785	3.15355
40	0.00069785	0.000757346	3.15355
41	0.000757346	0.000821693	3.15355
42	0.000821693	0.000891288	3.15355
43	0.000891288	0.000966558	3.15355
44	0.000966558	0.00104797	3.15355
45	0.00104797	0.00113601	3.15355
46	0.00113601	0.00123124	3.15355
47	0.00123124	0.00133424	3.15355
48	0.00133424	0.00144563	3.15355
49	0.00144563	0.0015661	3.15355
50	0.0015661	0.00169641	3.15355
51	0.00169641	0.00183733	3.15355
52	0.00183733	0.00198975	3.15355
53	0.00198975	0.0021546	3.15355
54	0.0021546	0.0023329	3.15355
55	0.0023329	0.00252573	3.15355
56	0.00252573	0.00273429	3.15355
57	0.00273429	0.00295986	3.15355
58	0.00295986	0.00320382	3.15355
59	0.00320382	0.00346767	3.15355
60	0.00346767	0.00375305	3.15355
61	0.00375305	0.00406169	3.15355
62	0.00406169	0.00439551	3.15355
63	0.00439551	inf	3.15355
