time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.81825e-06	393.806
1	5.81825e-06	1.2111e-05	393.806
2	1.2111e-05	1.89169e-05	393.806
3	1.89169e-05	2.62778e-05	393.806
4	2.62778e-05	3.4239e-05	1.40164
5	3.4239e-05	4.28494e-05	1.40164
6	4.28494e-05	5.21621e-05	1.40162
7	5.21621e-05	6.22341e-05	1.40162
8	6.22341e-05	7.31275e-05	1.40162
9	7.31275e-05	8.49093e-05	1.40162
10	8.49093e-05	9.76519e-05	1.40162
11	9.76519e-05	0.000111434	1.40162
12	0.000111434	0.000126339	1.40162
13	0.000126339	0.000142461	1.40162
14	0.000142461	0.000159896	1.40162
15	0.000159896	0.000178754	1.40162
16	0.000178754	0.00019915	1.40162
17	0.00019915	0.000221209	1.40162
18	0.000221209	0.000245066	1.40162
19	0.000245066	0.00027087	1.40162
20	0.00027087	0.000298777	1.40162
21	0.000298777	0.000328961	1.40162
22	0.000328961	0.000361606	1.40162
23	0.000361606	0.000396913	1.40162
24	0.000396913	0.000435099	1.40162
25	0.000435099	0.0004764	1.40162
26	0.0004764	0.000521068	1.40162
27	0.000521068	0.00056938	1.40162
28	0.00056938	0.000621631	1.40162
29	0.000621631	0.000678143	1.40162
30	0.000678143	0.000739264	1.40162
31	0.000739264	0.000805369	1.40162
32	0.000805369	0.000876864	1.40162
33	0.000876864	0.000954191	1.40162
34	0.000954191	0.00103782	1.40162
35	0.00103782	0.00112828	1.40162
36	0.00112828	0.0012261	1.40162
37	0.0012261	0.00133191	1.40162
38	0.00133191	0.00144635	1.40162
39	0.00144635	0.00157011	1.40162
40	0.00157011	0.00170397	1.40162
41	0.00170397	0.00184875	1.40162
42	0.00184875	0.00200534	1.40162
43	0.00200534	0.00217469	1.40162
44	0.00217469	0.00235785	1.40162
45	0.00235785	0.00255595	1.40162
46	0.00255595	0.00277021	1.40162
47	0.00277021	0.00300194	1.40162
48	0.00300194	0.00325256	1.40162
49	0.00325256	0.00352363	1.40162
50	0.00352363	0.0038168	1.40162
51	0.0038168	0.00413387	1.40162
52	0.00413387	0.00447681	1.40162
53	0.00447681	0.00484771	1.40162
54	0.00484771	0.00524886	1.40162
55	0.00524886	0.00568272	1.40162
56	0.00568272	0.00615196	1.40162
57	0.00615196	0.00665947	1.40162
58	0.00665947	0.00720837	1.40162
59	0.00720837	0.00780202	1.40162
60	0.00780202	0.0084441	1.40162
61	0.0084441	0.00913853	1.40162
62	0.00913853	0.00988959	1.40162
63	0.00988959	inf	1.40162
