time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.86483e-05	824.38
1	1.86483e-05	3.88174e-05	824.38
2	3.88174e-05	6.06312e-05	824.38
3	6.06312e-05	8.4224e-05	824.38
4	8.4224e-05	0.000109741	923.791
5	0.000109741	0.000137338	923.791
6	0.000137338	0.000167187	614.377
7	0.000167187	0.000199469	614.377
8	0.000199469	0.000234384	439.815
9	0.000234384	0.000272146	439.815
10	0.000272146	0.000312988	330.66
11	0.000312988	0.00035716	330.66
12	0.00035716	0.000404935	270.883
13	0.000404935	0.000456606	270.883
14	0.000456606	0.00051249	246.702
15	0.00051249	0.000572932	246.702
16	0.000572932	0.000638302	246.888
17	0.000638302	0.000709004	246.888
18	0.000709004	0.000785472	257.571
19	0.000785472	0.000868175	257.571
20	0.000868175	0.000957623	261.657
21	0.000957623	0.00105437	261.657
22	0.00105437	0.001159	253.944
23	0.001159	0.00127216	253.944
24	0.00127216	0.00139455	241.485
25	0.00139455	0.00152693	241.485
26	0.00152693	0.0016701	238.45
27	0.0016701	0.00182494	238.45
28	0.00182494	0.00199241	260.558
29	0.00199241	0.00217354	260.558
30	0.00217354	0.00236944	327.304
31	0.00236944	0.00258132	327.304
32	0.00258132	0.00281047	471.998
33	0.00281047	0.00305831	471.998
34	0.00305831	0.00332637	751.324
35	0.00332637	0.00361628	751.324
36	0.00361628	0.00392983	1217.4
37	0.00392983	0.00426896	1217.4
38	0.00426896	0.00463574	1787.05
39	0.00463574	0.00503243	1787.05
40	0.00503243	0.00546147	2248.75
41	0.00546147	0.00592551	2248.75
42	0.00592551	0.00642738	2445.83
43	0.00642738	0.00697018	2445.83
44	0.00697018	0.00755724	2362.13
45	0.00755724	0.00819218	2362.13
46	0.00819218	0.0088789	2089.52
47	0.0088789	0.00962162	2089.52
48	0.00962162	0.0104249	1741.33
49	0.0104249	0.0112937	1741.33
50	0.0112937	0.0122334	1401.39
51	0.0122334	0.0132496	1401.39
52	0.0132496	0.0143488	1118.68
53	0.0143488	0.0155376	1118.68
54	0.0155376	0.0168233	865.149
55	0.0168233	0.0182139	865.149
56	0.0182139	0.0197179	865.149
57	0.0197179	0.0213445	865.149
58	0.0213445	0.0231038	592.944
59	0.0231038	0.0250066	592.944
60	0.0250066	0.0270645	592.944
61	0.0270645	0.0292902	592.944
62	0.0292902	0.0316975	592.944
63	0.0316975	inf	592.944
