time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.6337e-06	3132.21
1	1.6337e-06	3.40063e-06	3132.21
2	3.40063e-06	5.31165e-06	3132.21
3	5.31165e-06	7.37852e-06	3132.21
4	7.37852e-06	9.61394e-06	4.99172
5	9.61394e-06	1.20317e-05	4.99172
6	1.20317e-05	1.46465e-05	4.99172
7	1.46465e-05	1.74747e-05	4.99172
8	1.74747e-05	2.05334e-05	4.99172
9	2.05334e-05	2.38416e-05	4.99172
10	2.38416e-05	2.74196e-05	4.99172
11	2.74196e-05	3.12894e-05	4.99172
12	3.12894e-05	3.54747e-05	4.99172
13	3.54747e-05	4.00014e-05	4.99172
14	4.00014e-05	4.48972e-05	4.99172
15	4.48972e-05	5.01922e-05	4.99172
16	5.01922e-05	5.59191e-05	4.99172
17	5.59191e-05	6.2113e-05	4.99172
18	6.2113e-05	6.8812e-05	4.99172
19	6.8812e-05	7.60573e-05	4.99172
20	7.60573e-05	8.38934e-05	4.99172
21	8.38934e-05	9.23686e-05	4.99172
22	9.23686e-05	0.000101535	4.99172
23	0.000101535	0.000111449	4.99172
24	0.000111449	0.000122171	4.99172
25	0.000122171	0.000133768	4.99172
26	0.000133768	0.00014631	4.99172
27	0.00014631	0.000159876	4.99172
28	0.000159876	0.000174547	4.99172
29	0.000174547	0.000190415	4.99172
30	0.000190415	0.000207577	4.99172
31	0.000207577	0.000226139	4.99172
32	0.000226139	0.000246214	4.99172
33	0.000246214	0.000267926	4.99172
34	0.000267926	0.000291409	4.99172
35	0.000291409	0.000316807	4.99172
36	0.000316807	0.000344277	4.99172
37	0.000344277	0.000373986	4.99172
38	0.000373986	0.000406118	4.99172
39	0.000406118	0.000440871	4.99172
40	0.000440871	0.000478458	4.99172
41	0.000478458	0.000519109	4.99172
42	0.000519109	0.000563076	4.99172
43	0.000563076	0.000610629	4.99172
44	0.000610629	0.000662059	4.99172
45	0.000662059	0.000717684	4.99172
46	0.000717684	0.000777844	4.99172
47	0.000777844	0.000842911	4.99172
48	0.000842911	0.000913284	4.99172
49	0.000913284	0.000989396	4.99172
50	0.000989396	0.00107171	4.99172
51	0.00107171	0.00116075	4.99172
52	0.00116075	0.00125704	4.99172
53	0.00125704	0.00136118	4.99172
54	0.00136118	0.00147382	4.99172
55	0.00147382	0.00159564	4.99172
56	0.00159564	0.0017274	4.99172
57	0.0017274	0.00186991	4.99172
58	0.00186991	0.00202403	4.99172
59	0.00202403	0.00219072	4.99172
60	0.00219072	0.00237101	4.99172
61	0.00237101	0.002566	4.99172
62	0.002566	0.00277689	4.99172
63	0.00277689	inf	4.99172
