time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.18338e-06	207.784
1	5.18338e-06	1.07895e-05	207.784
2	1.07895e-05	1.68527e-05	207.784
3	1.68527e-05	2.34105e-05	207.784
4	2.34105e-05	3.0503e-05	1.57329
5	3.0503e-05	3.81739e-05	1.57329
6	3.81739e-05	4.64703e-05	1.57329
7	4.64703e-05	5.54433e-05	1.57329
8	5.54433e-05	6.51481e-05	1.57329
9	6.51481e-05	7.56443e-05	1.57329
10	7.56443e-05	8.69965e-05	1.57329
11	8.69965e-05	9.92744e-05	1.57329
12	9.92744e-05	0.000112554	1.57329
13	0.000112554	0.000126916	1.57329
14	0.000126916	0.000142449	1.57329
15	0.000142449	0.000159249	1.57329
16	0.000159249	0.000177419	1.57329
17	0.000177419	0.000197071	1.57329
18	0.000197071	0.000218326	1.57329
19	0.000218326	0.000241313	1.57329
20	0.000241313	0.000266176	1.57329
21	0.000266176	0.000293066	1.57329
22	0.000293066	0.000322149	1.57329
23	0.000322149	0.000353603	1.57329
24	0.000353603	0.000387623	1.57329
25	0.000387623	0.000424417	1.57329
26	0.000424417	0.000464211	1.57329
27	0.000464211	0.000507251	1.57329
28	0.000507251	0.0005538	1.57329
29	0.0005538	0.000604146	1.57329
30	0.000604146	0.000658598	1.57329
31	0.000658598	0.000717489	1.57329
32	0.000717489	0.000781184	1.57329
33	0.000781184	0.000850073	1.57329
34	0.000850073	0.000924579	1.57329
35	0.000924579	0.00100516	1.57329
36	0.00100516	0.00109232	1.57329
37	0.00109232	0.00118658	1.57329
38	0.00118658	0.00128853	1.57329
39	0.00128853	0.00139879	1.57329
40	0.00139879	0.00151804	1.57329
41	0.00151804	0.00164702	1.57329
42	0.00164702	0.00178652	1.57329
43	0.00178652	0.00193739	1.57329
44	0.00193739	0.00210057	1.57329
45	0.00210057	0.00227706	1.57329
46	0.00227706	0.00246793	1.57329
47	0.00246793	0.00267438	1.57329
48	0.00267438	0.00289765	1.57329
49	0.00289765	0.00313914	1.57329
50	0.00313914	0.00340032	1.57329
51	0.00340032	0.0036828	1.57329
52	0.0036828	0.00398831	1.57329
53	0.00398831	0.00431874	1.57329
54	0.00431874	0.00467612	1.57329
55	0.00467612	0.00506264	1.57329
56	0.00506264	0.00548068	1.57329
57	0.00548068	0.00593281	1.57329
58	0.00593281	0.00642181	1.57329
59	0.00642181	0.00695069	1.57329
60	0.00695069	0.0075227	1.57329
61	0.0075227	0.00814136	1.57329
62	0.00814136	0.00881047	1.57329
63	0.00881047	inf	1.57329
