time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.30044e-06	2126.53
1	3.30044e-06	6.87003e-06	2126.53
2	6.87003e-06	1.07307e-05	2126.53
3	1.07307e-05	1.49062e-05	2126.53
4	1.49062e-05	1.94223e-05	3773.66
5	1.94223e-05	2.43066e-05	3773.66
6	2.43066e-05	2.95893e-05	2407.51
7	2.95893e-05	3.53027e-05	2407.51
8	3.53027e-05	4.14821e-05	1489.13
9	4.14821e-05	4.81653e-05	1489.13
10	4.81653e-05	5.53937e-05	963.394
11	5.53937e-05	6.32114e-05	963.394
12	6.32114e-05	7.16668e-05	816.565
13	7.16668e-05	8.08116e-05	816.565
14	8.08116e-05	9.07022e-05	1030.04
15	9.07022e-05	0.000101399	1030.04
16	0.000101399	0.000112969	1581.99
17	0.000112969	0.000125482	1581.99
18	0.000125482	0.000139015	2181.2
19	0.000139015	0.000153653	2181.2
20	0.000153653	0.000169483	2291.78
21	0.000169483	0.000186605	2291.78
22	0.000186605	0.000205123	1924.05
23	0.000205123	0.000225151	1924.05
24	0.000225151	0.000246813	1499.59
25	0.000246813	0.000270241	1499.59
26	0.000270241	0.000295579	1188.05
27	0.000295579	0.000322984	1188.05
28	0.000322984	0.000352624	974.961
29	0.000352624	0.000384681	974.961
30	0.000384681	0.000419352	839.909
31	0.000419352	0.00045685	839.909
32	0.00045685	0.000497407	773.113
33	0.000497407	0.000541271	773.113
34	0.000541271	0.000588712	768.904
35	0.000588712	0.000640021	768.904
36	0.000640021	0.000695515	810.394
37	0.000695515	0.000755535	810.394
38	0.000755535	0.000820449	860.554
39	0.000820449	0.000890657	860.554
40	0.000890657	0.00096659	866.54
41	0.00096659	0.00104872	866.54
42	0.00104872	0.00113754	779.811
43	0.00113754	0.00123361	779.811
44	0.00123361	0.00133751	597.432
45	0.00133751	0.00144988	597.432
46	0.00144988	0.00157142	384.06
47	0.00157142	0.00170287	384.06
48	0.00170287	0.00184504	219.3
49	0.00184504	0.0019988	219.3
50	0.0019988	0.0021651	122.654
51	0.0021651	0.00234496	122.654
52	0.00234496	0.0025395	71.8789
53	0.0025395	0.00274989	71.8789
54	0.00274989	0.00297745	24.4662
55	0.00297745	0.00322356	24.4662
56	0.00322356	0.00348974	24.4662
57	0.00348974	0.00377762	24.4662
58	0.00377762	0.00408899	2.47088
59	0.00408899	0.00442575	2.47088
60	0.00442575	0.00478997	2.47088
61	0.00478997	0.00518389	2.47088
62	0.00518389	0.00560993	2.47088
63	0.00560993	inf	2.47088
