time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.73529e-06	162.114
1	9.73529e-06	2.02645e-05	162.114
2	2.02645e-05	3.16524e-05	162.114
3	3.16524e-05	4.39689e-05	162.114
4	4.39689e-05	5.72898e-05	260.595
5	5.72898e-05	7.16971e-05	260.595
6	7.16971e-05	8.72793e-05	125.635
7	8.72793e-05	0.000104132	125.635
8	0.000104132	0.000122359	119.185
9	0.000122359	0.000142073	119.185
10	0.000142073	0.000163394	131.256
11	0.000163394	0.000186455	131.256
12	0.000186455	0.000211395	133.261
13	0.000211395	0.00023837	133.261
14	0.00023837	0.000267544	134.689
15	0.000267544	0.000299097	134.689
16	0.000299097	0.000333224	154.715
17	0.000333224	0.000370134	154.715
18	0.000370134	0.000410053	170.586
19	0.000410053	0.000453228	170.586
20	0.000453228	0.000499924	175.654
21	0.000499924	0.000550428	175.654
22	0.000550428	0.000605051	181.004
23	0.000605051	0.000664128	181.004
24	0.000664128	0.000728023	191.633
25	0.000728023	0.000797128	191.633
26	0.000797128	0.000871869	201.172
27	0.000871869	0.000952705	201.172
28	0.000952705	0.00104013	201.644
29	0.00104013	0.00113469	201.644
30	0.00113469	0.00123696	191.307
31	0.00123696	0.00134757	191.307
32	0.00134757	0.0014672	172.684
33	0.0014672	0.00159658	172.684
34	0.00159658	0.00173652	147.851
35	0.00173652	0.00188787	147.851
36	0.00188787	0.00205156	118.132
37	0.00205156	0.0022286	118.132
38	0.0022286	0.00242008	85.1567
39	0.00242008	0.00262717	85.1567
40	0.00262717	0.00285115	53.2434
41	0.00285115	0.00309339	53.2434
42	0.00309339	0.00335539	27.3966
43	0.00335539	0.00363876	27.3966
44	0.00363876	0.00394524	10.5271
45	0.00394524	0.00427671	10.5271
46	0.00427671	0.0046352	2.70321
47	0.0046352	0.00502294	2.70321
48	0.00502294	0.0054423	0.837671
49	0.0054423	0.00589585	0.837671
50	0.00589585	0.00638639	0.837671
51	0.00638639	0.00691693	0.837671
52	0.00691693	0.00749074	0.837671
53	0.00749074	0.00811135	0.837671
54	0.00811135	0.00878256	0.837671
55	0.00878256	0.00950851	0.837671
56	0.00950851	0.0102937	0.837671
57	0.0102937	0.0111428	0.837671
58	0.0111428	0.0120613	0.837671
59	0.0120613	0.0130546	0.837671
60	0.0130546	0.0141289	0.837671
61	0.0141289	0.0152909	0.837671
62	0.0152909	0.0165476	0.837671
63	0.0165476	inf	0.837671
