time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.43969e-05	789.468
1	1.43969e-05	2.99679e-05	789.468
2	2.99679e-05	4.68087e-05	789.468
3	4.68087e-05	6.50228e-05	789.468
4	6.50228e-05	8.47224e-05	746.212
5	8.47224e-05	0.000106028	746.212
6	0.000106028	0.000129072	1783.24
7	0.000129072	0.000153995	1783.24
8	0.000153995	0.00018095	1381.3
9	0.00018095	0.000210103	1381.3
10	0.000210103	0.000241634	570.736
11	0.000241634	0.000275736	570.736
12	0.000275736	0.000312619	276.206
13	0.000312619	0.00035251	276.206
14	0.00035251	0.000395654	188.082
15	0.000395654	0.000442316	188.082
16	0.000442316	0.000492784	162.627
17	0.000492784	0.000547367	162.627
18	0.000547367	0.000606402	171.775
19	0.000606402	0.000670251	171.775
20	0.000670251	0.000739307	234.946
21	0.000739307	0.000813994	234.946
22	0.000813994	0.000894772	372.221
23	0.000894772	0.000982137	372.221
24	0.000982137	0.00107663	541.418
25	0.00107663	0.00117882	541.418
26	0.00117882	0.00128935	603.905
27	0.00128935	0.0014089	603.905
28	0.0014089	0.00153819	504.933
29	0.00153819	0.00167802	504.933
30	0.00167802	0.00182926	373.865
31	0.00182926	0.00199284	373.865
32	0.00199284	0.00216975	305.935
33	0.00216975	0.00236109	305.935
34	0.00236109	0.00256803	311.967
35	0.00256803	0.00279185	311.967
36	0.00279185	0.00303392	398.512
37	0.00303392	0.00329573	398.512
38	0.00329573	0.0035789	606.362
39	0.0035789	0.00388515	606.362
40	0.00388515	0.00421638	1013.04
41	0.00421638	0.00457463	1013.04
42	0.00457463	0.00496208	1633.22
43	0.00496208	0.00538114	1633.22
44	0.00538114	0.00583436	2281.43
45	0.00583436	0.00632455	2281.43
46	0.00632455	0.00685471	2707.25
47	0.00685471	0.00742811	2707.25
48	0.00742811	0.00804827	2777.11
49	0.00804827	0.008719	2777.11
50	0.008719	0.00944443	2545.09
51	0.00944443	0.010229	2545.09
52	0.010229	0.0110776	2162.22
53	0.0110776	0.0119954	2162.22
54	0.0119954	0.012988	1675.98
55	0.012988	0.0140615	1675.98
56	0.0140615	0.0152227	1675.98
57	0.0152227	0.0164785	1675.98
58	0.0164785	0.0178367	950.819
59	0.0178367	0.0193056	950.819
60	0.0193056	0.0208944	950.819
61	0.0208944	0.0226127	950.819
62	0.0226127	0.0244712	950.819
63	0.0244712	inf	950.819
