time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.82277e-06	188.747
1	9.82277e-06	2.04466e-05	188.747
2	2.04466e-05	3.19368e-05	188.747
3	3.19368e-05	4.4364e-05	188.747
4	4.4364e-05	5.78046e-05	1524.55
5	5.78046e-05	7.23414e-05	1524.55
6	7.23414e-05	8.80636e-05	1368.3
7	8.80636e-05	0.000105068	1368.3
8	0.000105068	0.000123459	795.873
9	0.000123459	0.00014335	795.873
10	0.00014335	0.000164863	454.377
11	0.000164863	0.00018813	454.377
12	0.00018813	0.000213295	320.771
13	0.000213295	0.000240512	320.771
14	0.000240512	0.000269948	271.663
15	0.000269948	0.000301785	271.663
16	0.000301785	0.000336218	256.065
17	0.000336218	0.00037346	256.065
18	0.00037346	0.000413738	249.501
19	0.000413738	0.000457301	249.501
20	0.000457301	0.000504417	251.356
21	0.000504417	0.000555374	251.356
22	0.000555374	0.000610488	263.223
23	0.000610488	0.000670096	263.223
24	0.000670096	0.000734565	275.253
25	0.000734565	0.000804291	275.253
26	0.000804291	0.000879704	279.217
27	0.000879704	0.000961266	279.217
28	0.000961266	0.00104948	272.555
29	0.00104948	0.00114489	272.555
30	0.00114489	0.00124808	258.295
31	0.00124808	0.00135968	258.295
32	0.00135968	0.00148038	239.368
33	0.00148038	0.00161093	239.368
34	0.00161093	0.00175212	220.561
35	0.00175212	0.00190483	220.561
36	0.00190483	0.00206999	203.526
37	0.00206999	0.00224862	203.526
38	0.00224862	0.00244182	189.736
39	0.00244182	0.00265077	189.736
40	0.00265077	0.00287677	177.231
41	0.00287677	0.00312119	177.231
42	0.00312119	0.00338555	161.559
43	0.00338555	0.00367146	161.559
44	0.00367146	0.00398069	134.825
45	0.00398069	0.00431514	134.825
46	0.00431514	0.00467686	92.5302
47	0.00467686	0.00506808	92.5302
48	0.00506808	0.0054912	46.5126
49	0.0054912	0.00594883	46.5126
50	0.00594883	0.00644378	15.5025
51	0.00644378	0.00697909	15.5025
52	0.00697909	0.00755805	3.29489
53	0.00755805	0.00818423	3.29489
54	0.00818423	0.00886148	0.830211
55	0.00886148	0.00959395	0.830211
56	0.00959395	0.0103862	0.830211
57	0.0103862	0.011243	0.830211
58	0.011243	0.0121697	0.830211
59	0.0121697	0.0131719	0.830211
60	0.0131719	0.0142559	0.830211
61	0.0142559	0.0154283	0.830211
62	0.0154283	0.0166963	0.830211
63	0.0166963	inf	0.830211
