time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.43745e-05	1149.67
1	1.43745e-05	2.99212e-05	1149.67
2	2.99212e-05	4.67358e-05	1149.67
3	4.67358e-05	6.49216e-05	1149.67
4	6.49216e-05	8.45904e-05	1617.11
5	8.45904e-05	0.000105863	1617.11
6	0.000105863	0.000128871	1217.55
7	0.000128871	0.000153755	1217.55
8	0.000153755	0.000180668	878.777
9	0.000180668	0.000209776	878.777
10	0.000209776	0.000241257	642.605
11	0.000241257	0.000275306	642.605
12	0.000275306	0.000312132	497.546
13	0.000312132	0.000351961	497.546
14	0.000351961	0.000395038	415.556
15	0.000395038	0.000441627	415.556
16	0.000441627	0.000492017	374.811
17	0.000492017	0.000546515	374.811
18	0.000546515	0.000605458	361.58
19	0.000605458	0.000669207	361.58
20	0.000669207	0.000738155	364.563
21	0.000738155	0.000812726	364.563
22	0.000812726	0.000893378	375.515
23	0.000893378	0.000980607	375.515
24	0.000980607	0.00107495	389.365
25	0.00107495	0.00117699	389.365
26	0.00117699	0.00128734	403.89
27	0.00128734	0.0014067	403.89
28	0.0014067	0.00153579	419.073
29	0.00153579	0.00167541	419.073
30	0.00167541	0.00182641	435.627
31	0.00182641	0.00198973	435.627
32	0.00198973	0.00216637	454.66
33	0.00216637	0.00235741	454.66
34	0.00235741	0.00256403	477.597
35	0.00256403	0.0027875	477.597
36	0.0027875	0.0030292	505.768
37	0.0030292	0.0032906	505.768
38	0.0032906	0.00357332	539.139
39	0.00357332	0.0038791	539.139
40	0.0038791	0.00420982	577.876
41	0.00420982	0.0045675	577.876
42	0.0045675	0.00495435	621.003
43	0.00495435	0.00537275	621.003
44	0.00537275	0.00582528	666.816
45	0.00582528	0.0063147	666.816
46	0.0063147	0.00684404	710.876
47	0.00684404	0.00741654	710.876
48	0.00741654	0.00803573	745.219
49	0.00803573	0.00870542	745.219
50	0.00870542	0.00942972	762.052
51	0.00942972	0.0102131	762.052
52	0.0102131	0.0110603	759.493
53	0.0110603	0.0119767	759.493
54	0.0119767	0.0129677	734.723
55	0.0129677	0.0140396	734.723
56	0.0140396	0.0151989	734.723
57	0.0151989	0.0164528	734.723
58	0.0164528	0.0178089	646.403
59	0.0178089	0.0192756	646.403
60	0.0192756	0.0208619	646.403
61	0.0208619	0.0225775	646.403
62	0.0225775	0.0244331	646.403
63	0.0244331	inf	646.403
