time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.17464e-05	208.67
1	2.17464e-05	4.52663e-05	208.67
2	4.52663e-05	7.07042e-05	208.67
3	7.07042e-05	9.82165e-05	208.67
4	9.82165e-05	0.000127972	239.517
5	0.000127972	0.000160155	239.517
6	0.000160155	0.000194962	181.537
7	0.000194962	0.000232608	181.537
8	0.000232608	0.000273323	148.667
9	0.000273323	0.000317359	148.667
10	0.000317359	0.000364986	147.909
11	0.000364986	0.000416497	147.909
12	0.000416497	0.000472209	167.122
13	0.000472209	0.000532464	167.122
14	0.000532464	0.000597632	226.498
15	0.000597632	0.000668115	226.498
16	0.000668115	0.000744347	335.59
17	0.000744347	0.000826794	335.59
18	0.000826794	0.000915966	448.686
19	0.000915966	0.00101241	448.686
20	0.00101241	0.00111672	497.899
21	0.00111672	0.00122953	497.899
22	0.00122953	0.00135155	464.157
23	0.00135155	0.00148351	464.157
24	0.00148351	0.00162624	387.321
25	0.00162624	0.0017806	387.321
26	0.0017806	0.00194756	312.13
27	0.00194756	0.00212813	312.13
28	0.00212813	0.00232342	260.612
29	0.00232342	0.00253464	260.612
30	0.00253464	0.00276309	237.661
31	0.00276309	0.00301016	237.661
32	0.00301016	0.00327739	243.786
33	0.00327739	0.0035664	243.786
34	0.0035664	0.00387899	283.367
35	0.00387899	0.00421707	283.367
36	0.00421707	0.00458271	367.176
37	0.00458271	0.00497818	367.176
38	0.00497818	0.0054059	508.035
39	0.0054059	0.00586849	508.035
40	0.00586849	0.00636881	700.89
41	0.00636881	0.00690994	700.89
42	0.00690994	0.00749519	903.599
43	0.00749519	0.00812816	903.599
44	0.00812816	0.00881276	1061.81
45	0.00881276	0.00955318	1061.81
46	0.00955318	0.010354	1142.58
47	0.010354	0.0112201	1142.58
48	0.0112201	0.0121568	1143.73
49	0.0121568	0.01317	1143.73
50	0.01317	0.0142657	1084.85
51	0.0142657	0.0154509	1084.85
52	0.0154509	0.0167326	991.356
53	0.0167326	0.0181189	991.356
54	0.0181189	0.0196182	851.472
55	0.0196182	0.0212398	851.472
56	0.0212398	0.0229937	851.472
57	0.0229937	0.0248906	851.472
58	0.0248906	0.0269421	637.44
59	0.0269421	0.029161	637.44
60	0.029161	0.0315608	637.44
61	0.0315608	0.0341564	637.44
62	0.0341564	0.0369636	637.44
63	0.0369636	inf	637.44
