time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.97141e-05	1065.88
1	1.97141e-05	4.10359e-05	1065.88
2	4.10359e-05	6.40964e-05	1065.88
3	6.40964e-05	8.90376e-05	1065.88
4	8.90376e-05	0.000116013	955.917
5	0.000116013	0.000145188	955.917
6	0.000145188	0.000176742	634.707
7	0.000176742	0.000210869	634.707
8	0.000210869	0.000247779	492.326
9	0.000247779	0.0002877	492.326
10	0.0002877	0.000330876	440.534
11	0.000330876	0.000377573	440.534
12	0.000377573	0.000428078	456.324
13	0.000428078	0.000482702	456.324
14	0.000482702	0.00054178	515.783
15	0.00054178	0.000605676	515.783
16	0.000605676	0.000674783	564.952
17	0.000674783	0.000749525	564.952
18	0.000749525	0.000830363	534.299
19	0.000830363	0.000917793	534.299
20	0.000917793	0.00101235	425.217
21	0.00101235	0.00111462	425.217
22	0.00111462	0.00122524	309.907
23	0.00122524	0.00134487	309.907
24	0.00134487	0.00147426	231.938
25	0.00147426	0.00161419	231.938
26	0.00161419	0.00176555	191.435
27	0.00176555	0.00192924	191.435
28	0.00192924	0.00210628	177.3
29	0.00210628	0.00229776	177.3
30	0.00229776	0.00250486	182.082
31	0.00250486	0.00272884	182.082
32	0.00272884	0.0029711	203.954
33	0.0029711	0.0032331	203.954
34	0.0032331	0.00351647	245.693
35	0.00351647	0.00382296	245.693
36	0.00382296	0.00415443	313.921
37	0.00415443	0.00451294	313.921
38	0.00451294	0.00490068	414.959
39	0.00490068	0.00532005	414.959
40	0.00532005	0.00577361	548.836
41	0.00577361	0.00626416	548.836
42	0.00626416	0.00679471	697.106
43	0.00679471	0.00736854	697.106
44	0.00736854	0.00798915	825.306
45	0.00798915	0.00866038	825.306
46	0.00866038	0.00938635	905.105
47	0.00938635	0.0101715	905.105
48	0.0101715	0.0110207	926.569
49	0.0110207	0.0119392	926.569
50	0.0119392	0.0129325	897.772
51	0.0129325	0.0140069	897.772
52	0.0140069	0.0151688	837.446
53	0.0151688	0.0164256	837.446
54	0.0164256	0.0177848	735.556
55	0.0177848	0.0192549	735.556
56	0.0192549	0.0208448	735.556
57	0.0208448	0.0225644	735.556
58	0.0225644	0.0244242	570.701
59	0.0244242	0.0264357	570.701
60	0.0264357	0.0286113	570.701
61	0.0286113	0.0309642	570.701
62	0.0309642	0.0335091	570.701
63	0.0335091	inf	570.701
